,time (ms),bandwidth (Kbps),Latency (ms),Loss rate (%)
0,3.0,1458.5,192.168,1.326
1,507.0,2347.4,169.193,0.641
2,1010.0,6842.5,129.530,1.420
3,1514.0,4317.0,196.850,2.704
4,2017.0,3474.9,373.765,2.388
5,2519.0,2459.2,435.093,0.509
6,3021.0,3737.1,368.232,0.254
7,3524.0,3309.6,235.257,1.546
8,4028.0,2540.4,351.355,1.899
9,4529.0,3289.9,426.833,1.006
10,5031.0,3737.2,377.173,2.455
11,5535.0,4000.9,361.175,2.253
12,6038.0,3243.1,353.560,2.018
13,6541.0,3394.7,377.202,0.674
14,7044.0,3601.3,362.238,0.597
15,7547.0,2726.0,399.930,0.073
16,8049.0,4362.4,425.350,0.735
17,8553.0,3531.4,256.593,1.425
18,9057.0,4933.2,237.632,2.549
19,9559.0,2762.2,263.300,0.218
20,10061.0,3607.2,336.441,1.243
21,10564.0,4527.9,265.633,1.889
22,11067.0,3982.1,316.818,0.583
23,11569.0,3759.2,315.088,2.089
24,12072.0,4642.9,280.619,1.483
25,12575.0,4310.8,236.459,0.732
26,13078.0,3881.9,295.629,1.968
27,13581.0,3303.8,305.622,0.017
28,14085.0,4088.1,314.406,2.253
29,14588.0,3982.1,344.918,2.310
30,15091.0,3449.5,315.287,0.320
31,15594.0,4434.0,340.833,1.275
32,16097.0,2916.1,347.690,0.528
33,16600.0,1546.6,483.243,2.874
34,17102.0,3902.9,535.256,1.554
35,17604.0,3913.6,312.717,0.151
36,18108.0,3466.9,329.949,0.748
37,18611.0,3784.2,339.091,2.545
38,19114.0,2454.3,348.137,1.369
39,19617.0,4860.8,355.360,2.404
40,20120.0,4677.5,291.038,2.003
41,20622.0,3057.4,275.452,2.964
42,21125.0,2061.6,385.251,1.786
43,21628.0,4243.1,428.436,2.850
44,22130.0,4253.3,313.603,2.674
45,22632.0,3695.9,325.546,1.838
46,23133.0,3784.0,330.658,2.158
47,23638.0,2456.6,363.770,1.514
48,24141.0,4451.6,401.740,2.492
49,24644.0,3840.7,318.180,1.644
50,25146.0,3549.4,351.081,2.692
51,25649.0,959.0,375.183,2.231
52,26150.0,5675.8,214.697,1.424
53,26654.0,3602.9,322.223,0.778
54,27157.0,2997.3,271.188,0.742
55,27661.0,2995.5,296.582,1.913
56,28165.0,4331.0,238.546,2.297
57,28667.0,3982.5,263.246,1.564
58,29168.0,3289.7,275.171,1.880
59,29671.0,2917.9,291.733,0.824
60,30175.0,3822.4,326.284,0.232
61,30676.0,3695.0,315.157,0.857
62,31180.0,2825.7,325.638,0.815
63,31684.0,2510.0,397.974,0.959
64,32187.0,3977.2,353.311,1.620
65,32691.0,3448.9,334.025,0.415
66,33196.0,3647.9,318.223,0.694
67,33699.0,1974.4,320.482,2.082
68,34202.0,3868.5,356.362,2.119
69,34705.0,3418.8,423.064,0.193
70,35207.0,3296.5,343.451,1.223
71,35711.0,3705.2,325.002,1.628
72,36214.0,4089.6,272.473,1.247
73,36718.0,4348.2,261.957,0.621
74,37220.0,4255.7,300.491,1.260
75,37723.0,1413.9,325.321,2.715
76,38224.0,4464.2,348.808,1.752
77,38728.0,4469.4,267.692,2.087
78,39231.0,3324.2,331.823,2.570
79,39733.0,2972.2,354.054,2.297
80,40236.0,2923.4,396.422,1.141
81,40738.0,3314.1,305.788,0.018
82,41242.0,3974.6,338.489,1.055
83,41745.0,3330.3,305.338,2.260
84,42250.0,3749.7,339.108,2.560
85,42753.0,3737.4,367.848,2.860
86,43255.0,3261.6,379.911,1.257
87,43757.0,3551.5,452.697,2.243
88,44258.0,3117.8,364.317,1.638
89,44761.0,2352.9,425.490,1.810
90,45265.0,1419.1,465.620,0.662
91,45769.0,5642.5,271.819,0.658
92,46273.0,3553.0,242.890,1.308
93,46776.0,3967.7,234.358,0.087
94,47279.0,3246.5,336.545,1.008
95,47782.0,1999.4,319.622,2.037
96,48283.0,2224.4,669.811,1.213
97,48786.0,3260.3,361.828,0.495
98,49290.0,3303.5,335.749,1.402
99,49793.0,3626.4,445.589,0.383
100,50297.0,2581.2,396.007,1.867
101,50800.0,3273.6,382.582,0.081
102,51304.0,1503.6,425.877,1.182
103,51806.0,4350.4,247.465,1.693
104,52309.0,4720.4,224.345,0.081
105,52812.0,3102.2,238.923,1.928
106,53315.0,3834.2,229.239,0.407
107,53818.0,2896.2,278.223,1.385
108,54321.0,3923.0,326.107,0.151
109,54824.0,3037.5,239.796,1.137
110,55327.0,2766.1,355.317,0.635
111,55829.0,3464.1,356.242,0.981
112,56330.0,3299.0,299.803,2.284
113,56833.0,2821.5,316.698,1.137
114,57336.0,3694.5,321.902,2.256
115,57839.0,3779.0,362.411,2.496
116,58341.0,2753.1,362.460,0.757
117,58843.0,1050.0,564.528,0.246
118,59344.0,2636.7,563.207,0.058
119,59847.0,3045.4,357.574,1.618
120,60351.0,4241.5,363.377,3.000
121,60852.0,3417.7,307.871,1.050
122,61355.0,3035.8,336.708,1.950
123,61858.0,3260.7,319.957,2.344
124,62361.0,3143.1,333.263,1.955
125,62864.0,2901.6,345.863,2.263
126,63367.0,4272.2,301.207,2.849
127,63869.0,3750.3,316.204,0.598
128,64372.0,3533.2,410.178,0.061
129,64875.0,3408.2,382.258,0.457
130,65378.0,3865.4,289.890,0.379
131,65882.0,3721.2,276.757,2.008
132,66385.0,4657.5,262.346,1.692
133,66889.0,4788.6,328.197,0.654
134,67391.0,2886.3,291.097,2.098
135,67895.0,3792.1,381.028,2.301
136,68397.0,3156.7,550.464,0.503
137,68901.0,3079.7,431.307,1.822
138,69404.0,2579.2,363.599,2.244
139,69907.0,3748.6,337.641,0.344
140,70410.0,2994.1,418.041,2.458
141,70914.0,3469.4,380.890,2.894
142,71418.0,1442.1,354.000,0.324
143,71921.0,5013.1,226.325,0.077
144,72424.0,3416.1,292.978,0.936
145,72927.0,2915.0,349.324,2.032
146,73430.0,3022.9,378.135,2.875
147,73934.0,2972.4,381.418,1.190
148,74437.0,3777.0,335.749,2.145
149,74940.0,3528.3,292.434,0.228
150,75442.0,3099.8,399.625,2.072
151,75945.0,4506.5,310.149,1.882
152,76448.0,3421.3,377.396,0.306
153,76952.0,2171.0,327.766,2.317
154,77454.0,4031.8,251.672,2.551
155,77958.0,3254.6,257.922,1.801
156,78461.0,4320.8,256.623,0.363
157,78964.0,3076.4,314.405,2.952
158,79467.0,2444.6,259.835,2.348
159,79968.0,4306.4,267.738,1.042
160,80471.0,4194.4,252.479,1.285
161,80975.0,3448.9,281.695,1.112
162,81478.0,3358.6,252.023,1.518
163,81982.0,5019.0,268.225,1.024
164,82484.0,4083.0,307.457,2.549
165,82986.0,3340.8,287.606,2.467
166,83489.0,3025.6,352.969,0.317
167,83992.0,4066.4,334.510,2.882
168,84494.0,2869.1,276.699,1.907
169,84997.0,5311.2,262.937,2.486
170,85499.0,3192.3,329.208,2.122
171,86000.0,2878.0,324.977,1.306
172,86503.0,4475.6,264.392,2.201
173,87006.0,4053.4,354.172,2.896
174,87509.0,3301.4,272.218,0.810
175,88012.0,3633.4,340.203,2.425
176,88515.0,3690.4,311.067,1.615
177,89018.0,4018.8,340.597,1.450
178,89522.0,3311.6,326.374,1.307
179,90025.0,2408.6,343.309,2.193
180,90530.0,5041.9,321.219,0.805
181,91032.0,2556.0,378.477,2.555
182,91535.0,3569.1,403.030,2.492
183,92036.0,2411.5,330.291,0.260
184,92539.0,4444.2,308.977,2.645
185,93043.0,3057.0,245.122,0.732
186,93546.0,1947.5,431.209,1.394
187,94050.0,3888.9,310.583,1.831
188,94553.0,2434.6,343.041,1.137
189,95057.0,4512.5,212.957,0.086
190,95557.0,3415.7,280.331,2.553
191,96059.0,3666.4,218.747,0.546
192,96562.0,4085.7,185.614,0.636
193,97065.0,3488.4,266.219,2.393
194,97568.0,3823.5,223.171,1.021
195,98070.0,4183.0,247.354,2.641
196,98573.0,4009.3,237.099,2.104
197,99077.0,3855.7,260.299,0.829
198,99580.0,4248.8,243.709,0.030
199,100082.0,4123.3,253.650,2.844
200,100530.3,4443.1,268.564,1.693
201,101059.5,3411.4,325.908,0.879
202,101540.3,4108.6,246.369,2.177
203,102046.5,3417.7,399.625,2.698
204,102537.3,2315.4,324.808,2.387
205,102961.2,2944.4,417.210,0.997
206,103508.9,2861.6,301.896,2.112
207,103965.5,3148.0,354.308,0.272
208,104426.0,3849.7,301.233,1.504
209,104936.6,3528.8,349.009,0.773
210,105357.1,2618.6,330.945,2.243
211,105794.0,3232.8,492.631,2.223
212,106274.2,3990.8,436.362,0.603
213,106836.4,2674.7,319.255,1.231
214,107389.3,1472.7,374.585,0.289
215,107865.3,5179.9,314.895,0.677
216,108326.4,3111.0,245.054,1.247
217,108768.0,3941.3,255.291,2.279
218,109278.4,3961.2,307.865,2.877
219,109736.6,4013.8,378.418,3.243
220,110150.9,2606.3,345.392,0.845
221,110683.1,3368.6,393.642,2.109
222,111112.9,3184.2,267.027,2.032
223,111631.9,3539.8,359.775,2.508
224,112169.6,3167.1,389.231,1.619
225,112657.2,4356.0,324.666,3.116
226,113107.3,3702.2,274.922,2.894
227,113624.7,2687.5,401.615,1.343
228,114032.7,3124.8,379.168,1.262
229,114469.0,3768.5,333.763,1.622
230,114963.0,3690.3,303.811,1.759
231,115429.0,3175.8,263.785,3.491
232,115939.0,3789.0,214.892,0.949
233,116419.9,3867.0,285.710,0.881
234,116912.3,2349.3,364.940,2.354
235,117437.3,3945.4,297.457,0.610
236,117925.0,4520.6,242.123,0.738
237,118484.8,3391.1,248.160,1.451
238,118903.5,5185.1,242.873,0.080
239,119433.0,3210.8,342.569,0.293
240,119887.7,5379.4,352.072,0.723
241,120316.6,3254.7,388.460,3.179
