,time (ms),bandwidth (Kbps),Latency (ms),Loss rate (%)
0,3.0,5940.6,185.101,1.215
1,507.0,10107.7,169.447,2.899
2,1010.0,33563.5,118.151,0.516
3,1514.0,19702.6,207.330,2.843
4,2017.0,14315.6,368.397,1.380
5,2519.0,10654.6,439.712,2.069
6,3021.0,15052.8,364.933,1.086
7,3524.0,14059.2,241.338,1.310
8,4028.0,11221.1,363.395,0.318
9,4529.0,15294.4,414.474,1.307
10,5031.0,16611.8,389.903,1.201
11,5535.0,17411.8,358.391,0.236
12,6038.0,15122.5,345.671,2.612
13,6541.0,14920.4,374.260,2.237
14,7044.0,15182.3,362.456,0.665
15,7547.0,11435.7,399.002,2.337
16,8049.0,19739.3,430.719,0.229
17,8553.0,14816.4,244.058,1.900
18,9057.0,21395.4,238.778,1.592
19,9559.0,12912.8,270.156,0.582
20,10061.0,15721.8,336.489,2.329
21,10564.0,18531.2,255.061,1.053
22,11067.0,17140.2,312.644,2.875
23,11569.0,17279.6,319.904,1.936
24,12072.0,18858.4,295.216,0.443
25,12575.0,18440.1,228.879,0.308
26,13078.0,17296.3,302.168,0.768
27,13581.0,15364.0,299.652,0.520
28,14085.0,16731.1,322.985,0.459
29,14588.0,17716.1,341.963,2.277
30,15091.0,14762.4,318.345,0.226
31,15594.0,18858.5,352.604,2.854
32,16097.0,12019.3,351.562,1.884
33,16600.0,6623.2,481.659,1.392
34,17102.0,16299.4,536.097,1.691
35,17604.0,17462.1,330.000,1.738
36,18108.0,14142.5,331.894,2.043
37,18611.0,15387.5,344.971,2.646
38,19114.0,10501.4,352.217,1.929
39,19617.0,19844.6,345.171,2.960
40,20120.0,20450.9,299.983,0.970
41,20622.0,13061.3,266.415,2.913
42,21125.0,8759.4,381.960,0.948
43,21628.0,19265.2,425.511,1.319
44,22130.0,19922.4,321.295,1.407
45,22632.0,15582.7,311.538,1.894
46,23133.0,17366.6,331.191,2.389
47,23638.0,10514.6,358.389,1.774
48,24141.0,19054.7,396.725,1.056
49,24644.0,16514.6,314.453,0.223
50,25146.0,14764.8,346.028,1.385
51,25649.0,4160.5,369.112,0.113
52,26150.0,25339.4,220.487,1.106
53,26654.0,14844.9,324.930,0.861
54,27157.0,13232.9,260.259,1.934
55,27661.0,12860.2,281.091,2.932
56,28165.0,19936.2,249.383,0.271
57,28667.0,16665.5,273.528,1.782
58,29168.0,14649.5,288.042,1.153
59,29671.0,12806.7,286.246,1.741
60,30175.0,15202.9,314.700,2.863
61,30676.0,15905.1,310.439,2.217
62,31180.0,11785.6,318.870,0.123
63,31684.0,10274.2,414.791,2.727
64,32187.0,15805.1,353.582,1.715
65,32691.0,15072.2,328.479,0.565
66,33196.0,16487.5,308.148,1.815
67,33699.0,9058.1,314.985,1.504
68,34202.0,16216.3,352.153,2.873
69,34705.0,14500.1,440.893,1.352
70,35207.0,14256.8,333.551,2.433
71,35711.0,14489.8,321.981,2.512
72,36214.0,16594.5,261.729,2.947
73,36718.0,18144.3,255.664,0.253
74,37220.0,17705.4,309.512,1.938
75,37723.0,6081.1,337.255,0.117
76,38224.0,17900.7,354.285,2.123
77,38728.0,19064.5,268.576,2.973
78,39231.0,14854.9,332.274,1.572
79,39733.0,12650.9,352.068,1.829
80,40236.0,12047.9,390.674,1.092
81,40738.0,14707.8,317.578,2.754
82,41242.0,16692.7,328.092,1.162
83,41745.0,13978.0,313.152,2.323
84,42250.0,16229.8,346.891,2.037
85,42753.0,16617.2,360.768,0.157
86,43255.0,12959.0,380.299,1.893
87,43757.0,15415.8,459.452,1.004
88,44258.0,13875.8,373.607,0.989
89,44761.0,10738.3,428.232,1.674
90,45265.0,6581.5,482.097,1.160
91,45769.0,23794.7,264.372,0.756
92,46273.0,14480.9,244.740,2.555
93,46776.0,17217.5,235.370,2.893
94,47279.0,13928.6,327.970,1.808
95,47782.0,9057.7,313.686,0.451
96,48283.0,9525.5,680.329,0.245
97,48786.0,13652.3,375.371,1.991
98,49290.0,14145.8,343.729,2.750
99,49793.0,15286.1,429.751,0.931
100,50297.0,11580.4,379.635,1.968
101,50800.0,13455.0,380.308,1.986
102,51304.0,6645.1,424.077,0.387
103,51806.0,19232.5,243.268,2.127
104,52309.0,19898.4,223.985,0.254
105,52812.0,12954.6,237.574,1.677
106,53315.0,16855.5,242.206,1.930
107,53818.0,12238.6,271.477,0.985
108,54321.0,17227.7,323.585,0.383
109,54824.0,11857.3,230.798,2.108
110,55327.0,11802.2,354.811,2.841
111,55829.0,15047.7,370.863,2.991
112,56330.0,13442.1,303.271,2.737
113,56833.0,12949.8,332.959,0.280
114,57336.0,15629.3,307.329,2.011
115,57839.0,16356.7,350.481,1.525
116,58341.0,12536.0,360.581,0.055
117,58843.0,4547.4,554.187,0.927
118,59344.0,11550.6,570.264,2.854
119,59847.0,14065.9,342.071,1.025
120,60351.0,18201.5,355.729,2.298
121,60852.0,14195.9,305.292,0.576
122,61355.0,13040.2,327.495,3.000
123,61858.0,13540.6,313.454,0.465
124,62361.0,13739.3,335.065,0.887
125,62864.0,12342.4,336.703,2.364
126,63367.0,19725.2,299.086,1.523
127,63869.0,15823.8,306.170,1.619
128,64372.0,14853.5,405.352,2.216
129,64875.0,13624.1,380.326,1.580
130,65378.0,16210.7,286.109,1.986
131,65882.0,16898.3,284.921,2.629
132,66385.0,18347.8,257.734,1.854
133,66889.0,20211.6,338.215,1.792
134,67391.0,12302.5,286.811,0.463
135,67895.0,16054.7,377.725,0.543
136,68397.0,13616.5,546.594,2.079
137,68901.0,13390.5,420.440,1.874
138,69404.0,10581.0,369.641,2.708
139,69907.0,16544.6,349.968,2.164
140,70410.0,12478.7,409.154,0.131
141,70914.0,15219.0,379.966,1.093
142,71418.0,6567.3,356.392,2.159
143,71921.0,20435.3,235.609,2.909
144,72424.0,14756.7,287.805,1.832
145,72927.0,12570.9,346.856,2.257
146,73430.0,12471.7,378.233,2.351
147,73934.0,12968.2,377.671,0.702
148,74437.0,17426.8,333.529,0.718
149,74940.0,16131.9,291.964,2.897
150,75442.0,12398.7,389.075,2.353
151,75945.0,19733.0,302.573,2.712
152,76448.0,15202.9,364.844,0.582
153,76952.0,9258.6,331.947,2.035
154,77454.0,17196.9,251.092,1.711
155,77958.0,14707.6,266.275,1.322
156,78461.0,18306.2,255.039,2.308
157,78964.0,13299.5,312.208,2.334
158,79467.0,10955.4,272.756,1.509
159,79968.0,18792.3,260.042,1.256
160,80471.0,19431.0,239.540,0.486
161,80975.0,14673.3,284.283,0.599
162,81478.0,14189.0,248.379,1.814
163,81982.0,20454.1,270.139,2.619
164,82484.0,16493.2,308.037,0.157
165,82986.0,14396.4,280.385,1.442
166,83489.0,13140.6,358.122,1.114
167,83992.0,17564.4,327.237,2.803
168,84494.0,12357.0,278.883,2.134
169,84997.0,23350.0,257.989,1.548
170,85499.0,13291.8,330.302,0.374
171,86000.0,12089.7,321.127,0.252
172,86503.0,19569.9,255.721,0.481
173,87006.0,16842.9,345.169,1.348
174,87509.0,13890.7,284.623,1.540
175,88012.0,16781.3,339.900,2.493
176,88515.0,16196.7,301.870,0.275
177,89018.0,17534.1,352.899,2.732
178,89522.0,14513.1,335.443,2.450
179,90025.0,10496.8,341.632,2.654
180,90530.0,21048.7,312.613,2.791
181,91032.0,10984.1,374.871,1.245
182,91535.0,14807.4,406.792,1.189
183,92036.0,10354.8,330.736,1.122
184,92539.0,18359.2,303.513,1.158
185,93043.0,12699.4,249.861,0.245
186,93546.0,8454.6,433.265,0.674
187,94050.0,16440.3,313.348,0.956
188,94553.0,10482.0,337.595,0.297
