,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,time (ms),bandwidth (Kbps),Latency (ms),Loss rate (%)
0,0,0,0,3.0,6073.2,46.5,0.056
1,1,1,1,507.0,10461.2,50.03,0.826
2,2,2,2,1010.0,35121.5,49.6275,0.125
3,3,3,3,1514.0,18954.9,57.5185,0.866
4,4,4,4,2017.0,14115.2,62.712,1.212
5,5,5,5,2519.0,10708.9,63.3775,0.208
6,6,6,6,3021.0,14764.8,65.752,0.534
7,7,7,7,3524.0,13997.1,67.7375,0.747
8,8,8,8,4028.0,10948.5,69.1115,0.661
9,9,9,9,4529.0,14893.0,70.494,0.501
10,10,10,10,5031.0,15925.0,73.033,0.397
11,11,11,11,5535.0,17028.4,72.203,1.297
12,12,12,12,6038.0,14931.4,70.182,0.096
13,13,13,13,6541.0,15076.5,69.166,0.125
14,14,14,14,7044.0,14784.3,72.85,0.585
15,15,15,15,7547.0,11840.8,68.6035,0.223
16,16,16,16,8049.0,19047.2,67.9865,0.563
17,17,17,17,8553.0,14545.2,63.2665,0.192
18,18,18,18,9057.0,21538.6,60.588,0.612
19,19,19,19,9559.0,12657.5,59.581,0.377
20,20,20,20,10061.0,16118.3,62.4545,1.247
21,21,21,21,10564.0,18508.2,62.0545,1.523
22,22,22,22,11067.0,17147.1,61.296,0.73
23,23,23,23,11569.0,17259.0,61.835,0.506
24,24,24,24,12072.0,18477.6,61.1685,0.276
25,25,25,25,12575.0,17542.1,61.4975,0.159
26,26,26,26,13078.0,18047.1,62.725,0.512
27,27,27,27,13581.0,15356.0,61.6735,0.102
28,28,28,28,14085.0,17493.3,63.334,0.753
29,29,29,29,14588.0,17193.1,67.5975,0.707
30,30,30,30,15091.0,14529.7,70.2695,0.85
31,31,31,31,15594.0,17991.7,68.8715,0.319
32,32,32,32,16097.0,12000.4,73.3525,0.182
33,33,33,33,16600.0,6869.1,76.4215,0.305
34,34,34,34,17102.0,16533.2,73.3255,0.564
35,35,35,35,17604.0,17392.2,74.0925,0.394
36,36,36,36,18108.0,14179.3,69.1825,0.243
37,37,37,37,18611.0,15904.7,69.456,0.195
38,38,38,38,19114.0,10417.7,67.7,0.707
39,39,39,39,19617.0,20581.6,67.098,0.276
40,40,40,40,20120.0,20893.9,64.7265,0.448
41,41,41,41,20622.0,13391.6,66.0865,0.865
42,42,42,42,21125.0,8632.8,67.884,0.729
43,43,43,43,21628.0,19053.3,66.436,1.004
44,44,44,44,22130.0,20041.0,66.9105,0.713
45,45,45,45,22632.0,15090.8,68.6025,0.491
46,46,46,46,23133.0,17440.4,66.1415,0.726
47,47,47,47,23638.0,10055.5,68.4155,1.008
48,48,48,48,24141.0,19042.5,69.8555,0.773
49,49,49,49,24644.0,16933.2,67.4395,0.254
50,50,50,50,25146.0,14424.2,66.4485,0.612
51,51,51,51,25649.0,4359.3,64.4365,0.281
52,52,52,52,26150.0,25769.0,60.6305,1.092
53,53,53,53,26654.0,14263.8,61.099,0.844
54,54,54,54,27157.0,13846.8,61.704,0.306
55,55,55,55,27661.0,12710.2,60.661,0.687
56,56,56,56,28165.0,20502.2,58.9225,0.71
57,57,57,57,28667.0,16379.9,61.458,0.178
58,58,58,58,29168.0,15276.2,62.015,0.354
59,59,59,59,29671.0,13119.2,62.46,0.668
60,60,60,60,30175.0,14729.7,61.353,0.939
61,61,61,61,30676.0,15902.6,64.548,0.659
62,62,62,62,31180.0,11773.1,64.6785,0.31
63,63,63,63,31684.0,9796.6,70.2795,0.875
64,64,64,64,32187.0,15215.2,70.146,0.238
65,65,65,65,32691.0,14804.8,65.5135,0.69
66,66,66,66,33196.0,16426.7,69.7,0.094
67,67,67,67,33699.0,9009.5,65.5585,0.515
68,68,68,68,34202.0,16371.1,67.9535,1.156
69,69,69,69,34705.0,14507.1,69.6205,0.211
70,70,70,70,35207.0,13996.6,68.3885,0.968
71,71,71,71,35711.0,14638.0,67.5455,0.666
72,72,72,72,36214.0,16017.3,64.2345,0.415
73,73,73,73,36718.0,19014.2,62.4565,1.334
74,74,74,74,37220.0,18109.8,65.6865,0.587
75,75,75,75,37723.0,5952.7,63.4855,0.367
76,76,76,76,38224.0,17589.0,66.771,0.182
77,77,77,77,38728.0,19669.4,67.731,0.512
78,78,78,78,39231.0,14887.1,65.874,1.104
79,79,79,79,39733.0,12901.2,68.115,1.337
80,80,80,80,40236.0,11794.1,68.3475,0.992
81,81,81,81,40738.0,15156.0,67.6815,0.385
82,82,82,82,41242.0,16455.4,68.2045,1.649
83,83,83,83,41745.0,14205.8,67.155,0.955
84,84,84,84,42250.0,16990.5,67.568,0.441
85,85,85,85,42753.0,16738.4,71.227,0.647
86,86,86,86,43255.0,13329.3,73.158,0.41
87,87,87,87,43757.0,15746.4,75.602,0.33
88,88,88,88,44258.0,14121.7,73.3875,0.238
89,89,89,89,44761.0,10219.1,71.016,0.756
90,90,90,90,45265.0,6557.8,68.3075,0.878
91,91,91,91,45769.0,24879.5,66.3115,0.325
