,time (ms),bandwidth (Kbps),Latency (ms),Loss rate (%)
0,3.0,15000.0,132.788,0.0
1,507.0,25700.0,110.666,0.0
2,1010.0,79500.0,72.556,0.0
3,1514.0,46300.0,153.524,0.0
4,2017.0,35400.0,324.052,0.0
5,2519.0,25200.0,390.818,0.0
6,3021.0,37500.0,320.211,20.0
7,3524.0,36000.0,194.084,0.0
8,4028.0,26700.0,303.776,0.0
9,4529.0,36000.0,367.127,0.0
10,5031.0,40100.0,331.869,0.0
11,5535.0,41700.0,305.494,0.0
12,6038.0,35500.0,304.46,0.0
13,6541.0,36500.0,328.742,0.0
14,7044.0,37000.0,303.092,0.0
15,7547.0,28300.0,340.022,0.0
16,8049.0,46800.0,374.235,0.0
17,8553.0,36500.0,202.225,0.0
18,9057.0,49900.0,194.536,0.0
19,9559.0,30300.0,217.366,0.0
20,10061.0,36500.0,277.067,0.0
21,10564.0,46300.0,214.049,0.0
22,11067.0,42200.0,265.974,0.0
23,11569.0,40600.0,260.128,0.0
24,12072.0,46300.0,239.476,0.0
25,12575.0,45700.0,184.775,0.0
26,13078.0,42200.0,245.572,0.0
27,13581.0,35900.0,248.568,0.0
28,14085.0,41200.0,271.257,0.0
29,14588.0,41100.0,285.702,0.0
30,15091.0,34900.0,273.685,0.0
31,15594.0,45200.0,297.117,0.0
32,16097.0,30300.0,295.789,0.0
33,16600.0,15400.0,429.739,10.0
34,17102.0,41200.0,490.552,0.0
35,17604.0,40600.0,270.319,0.0
36,18108.0,35000.0,272.143,0.0
37,18611.0,39000.0,294.167,0.0
38,19114.0,24700.0,296.247,0.0
39,19617.0,50300.0,302.972,0.0
40,20120.0,47800.0,242.654,0.0
41,20622.0,33400.0,223.779,0.0
42,21125.0,22100.0,334.795,30.0
43,21628.0,45200.0,369.742,0.0
44,22130.0,46300.0,269.518,0.0
45,22632.0,39600.0,271.222,0.0
46,23133.0,41100.0,285.884,0.0
47,23638.0,26200.0,315.854,0.0
48,24141.0,45800.0,348.306,0.0
49,24644.0,40600.0,272.18,0.0
50,25146.0,37500.0,304.757,0.0
51,25649.0,10300.0,320.146,0.0
52,26150.0,60600.0,173.246,0.0
53,26654.0,36000.0,273.057,30.0
54,27157.0,30800.0,211.219,0.0
55,27661.0,30900.0,236.66,0.0
56,28165.0,46700.0,197.081,0.0
57,28667.0,40600.0,218.983,0.0
58,29168.0,35500.0,229.867,0.0
59,29671.0,30800.0,233.068,0.0
60,30175.0,38000.0,268.667,0.0
61,30676.0,38000.0,257.572,0.0
