,time (ms),bandwidth (Kbps),Latency (ms),Loss rate (%)
0,3.0,19102.5,187.221,1.845
1,507.0,31848.8,156.422,2.809
2,1010.0,98878.2,124.026,2.667
3,1514.0,58613.2,204.388,0.722
4,2017.0,42026.5,381.967,0.202
5,2519.0,31078.7,438.709,1.782
6,3021.0,47937.2,367.114,1.339
7,3524.0,45856.3,249.545,2.016
8,4028.0,32978.8,346.706,2.617
9,4529.0,43516.0,407.968,0.734
10,5031.0,47769.1,390.975,0.133
11,5535.0,53648.2,347.075,1.317
12,6038.0,42567.3,362.940,1.619
13,6541.0,47015.6,381.861,2.263
14,7044.0,45704.5,358.039,2.328
15,7547.0,34138.3,384.302,0.420
16,8049.0,55271.0,430.794,2.980
17,8553.0,43635.2,247.648,0.702
18,9057.0,64330.7,245.776,2.749
19,9559.0,36515.1,262.798,1.728
20,10061.0,45564.5,319.252,1.732
21,10564.0,57737.7,268.867,2.318
22,11067.0,49914.2,310.760,2.455
23,11569.0,50762.6,301.143,0.711
24,12072.0,57608.6,297.580,2.629
25,12575.0,56799.2,229.288,2.957
26,13078.0,50318.8,290.229,1.564
27,13581.0,44813.1,290.572,1.241
28,14085.0,52838.6,317.863,0.825
29,14588.0,49850.5,335.150,1.670
30,15091.0,44853.3,327.309,1.775
31,15594.0,53171.5,339.866,2.206
32,16097.0,38716.7,355.079,0.525
33,16600.0,18191.9,489.297,2.036
34,17102.0,53075.1,533.711,1.668
35,17604.0,51413.5,323.377,0.141
36,18108.0,42136.9,329.756,1.033
37,18611.0,46693.6,343.681,1.930
38,19114.0,30673.0,349.258,1.143
39,19617.0,62748.7,358.090,1.573
40,20120.0,56165.7,288.399,2.089
41,20622.0,42781.7,269.487,1.225
42,21125.0,27371.9,375.978,0.900
43,21628.0,56519.1,425.116,0.552
44,22130.0,55954.8,322.564,1.614
45,22632.0,47578.3,315.866,0.723
46,23133.0,52230.8,340.658,0.676
47,23638.0,31999.4,372.861,2.573
48,24141.0,56205.7,389.052,0.433
49,24644.0,51001.0,330.609,1.389
50,25146.0,44653.9,353.115,0.173
51,25649.0,12592.0,376.898,1.238
52,26150.0,74449.7,231.924,1.250
53,26654.0,43676.1,313.784,1.590
54,27157.0,36621.0,267.943,1.165
55,27661.0,39474.6,292.419,0.765
56,28165.0,56537.4,240.807,0.991
57,28667.0,52499.7,273.963,0.237
58,29168.0,43092.1,287.313,1.349
59,29671.0,37589.5,278.857,1.113
60,30175.0,48072.5,309.416,1.607
61,30676.0,46921.4,303.540,2.488
62,31180.0,34702.1,330.303,0.155
63,31684.0,30867.9,413.388,1.132
64,32187.0,47574.1,343.337,1.815
65,32691.0,42935.0,329.041,0.119
66,33196.0,46476.2,318.815,0.218
67,33699.0,25434.4,311.223,2.414
68,34202.0,52930.2,361.067,1.763
69,34705.0,46640.7,425.592,2.014
70,35207.0,43288.3,337.193,0.651
71,35711.0,47729.0,324.471,0.627
72,36214.0,52712.0,275.381,2.721
73,36718.0,58746.9,249.792,0.910
74,37220.0,56215.9,312.427,2.727
75,37723.0,18776.8,335.978,0.635
76,38224.0,53402.5,361.039,0.570
77,38728.0,55735.4,256.910,2.224
78,39231.0,45939.7,333.118,2.241
79,39733.0,39077.0,347.857,2.263
80,40236.0,38773.8,395.558,2.743
81,40738.0,43634.2,305.579,2.087
82,41242.0,48596.0,338.023,2.111
83,41745.0,40740.1,312.833,1.190
84,42250.0,48492.3,337.447,0.718
85,42753.0,48158.5,358.295,0.965
86,43255.0,40279.8,369.548,0.849
87,43757.0,43559.4,458.868,1.399
88,44258.0,40882.4,357.753,1.946
89,44761.0,31995.2,439.590,0.925
90,45265.0,19638.1,475.098,1.079
91,45769.0,72868.9,275.114,2.648
92,46273.0,43434.4,230.285,1.398
93,46776.0,48884.5,236.790,2.408
94,47279.0,41932.5,330.655,2.167
95,47782.0,25062.5,313.928,2.285
96,48283.0,26605.9,667.850,0.961
97,48786.0,41235.2,373.284,0.609
98,49290.0,40170.9,345.702,0.939
99,49793.0,42955.4,433.158,0.137
100,50297.0,33325.8,385.119,2.592
101,50800.0,41434.3,376.396,2.224
102,51304.0,18726.1,422.541,0.049
103,51806.0,54550.2,245.123,1.660
104,52309.0,61433.3,224.577,1.752
105,52812.0,39135.1,250.095,2.160
106,53315.0,51545.5,241.536,0.886
107,53818.0,38700.3,277.999,0.589
108,54321.0,51297.8,325.582,0.690
109,54824.0,37772.5,236.388,1.709
110,55327.0,33002.6,350.113,0.737
111,55829.0,43778.4,370.853,1.652
112,56330.0,41874.9,302.163,2.830
113,56833.0,39305.5,319.059,1.013
114,57336.0,45882.1,325.447,2.290
115,57839.0,46221.6,354.292,1.466
116,58341.0,34839.7,363.432,2.171
117,58843.0,13452.1,571.892,2.219
118,59344.0,33204.9,567.588,1.382
119,59847.0,38698.4,353.015,2.198
120,60351.0,50689.0,364.341,1.057
121,60852.0,44703.8,303.494,0.420
122,61355.0,39128.4,336.533,1.640
123,61858.0,41877.0,318.841,0.552
