,Unnamed: 0.1,Unnamed: 0,time (ms),bandwidth (Kbps),Latency (ms),Loss rate (%)
0,0,0,3.0,17951.6,23.8955,0.696
1,1,1,507.0,31636.6,24.757,0.272
2,2,2,1010.0,95712.2,25.968,0.306
3,3,3,1514.0,61344.2,28.768,0.502
4,4,4,2017.0,42903.1,31.41375,0.171
5,5,5,2519.0,33103.1,31.8185,0.638
6,6,6,3021.0,44576.5,34.47875,0.447
7,7,7,3524.0,41283.1,33.656,0.574
8,8,8,4028.0,32127.8,34.3955,0.385
9,9,9,4529.0,47457.9,36.0655,0.179
10,10,10,5031.0,47977.0,36.69,0.187
11,11,11,5535.0,50615.9,35.0725,1.626
12,12,12,6038.0,44907.6,35.61875,0.628
13,13,13,6541.0,45023.8,36.04475,0.854
14,14,14,7044.0,47348.4,34.24925,0.207
15,15,15,7547.0,34125.1,33.9745,0.381
16,16,16,8049.0,58068.6,32.80775,0.544
17,17,17,8553.0,45359.4,32.8775,0.776
18,18,18,9057.0,65906.3,31.764,0.435
19,19,19,9559.0,38649.1,29.67475,0.707
20,20,20,10061.0,47732.5,30.885,0.568
21,21,21,10564.0,53739.6,29.98175,0.679
22,22,22,11067.0,52056.7,31.93375,1.24
23,23,23,11569.0,49218.8,30.5265,0.952
24,24,24,12072.0,55235.0,30.55,0.425
25,25,25,12575.0,56704.7,31.3585,1.391
26,26,26,13078.0,50115.9,31.49425,0.55
27,27,27,13581.0,47260.6,30.56,0.582
28,28,28,14085.0,50087.5,32.0845,0.123
29,29,29,14588.0,54491.0,34.2285,0.15
30,30,30,15091.0,42417.5,35.04575,0.442
31,31,31,15594.0,57162.2,35.70325,0.571
32,32,32,16097.0,36500.3,37.48975,0.785
33,33,33,16600.0,19656.7,37.5775,0.455
34,34,34,17102.0,51119.0,38.11375,1.015
35,35,35,17604.0,51719.9,38.02625,0.232
36,36,36,18108.0,40423.1,34.77325,0.697
37,37,37,18611.0,44727.2,34.606,1.115
38,38,38,19114.0,31071.3,33.91225,0.618
39,39,39,19617.0,56580.5,32.23875,0.542
40,40,40,20120.0,60197.7,34.32675,0.202
41,41,41,20622.0,40446.5,34.32,1.403
42,42,42,21125.0,25438.0,33.8485,1.213
43,43,43,21628.0,58754.4,34.19825,0.248
44,44,44,22130.0,60459.9,35.2445,0.666
45,45,45,22632.0,45525.3,33.2865,0.704
46,46,46,23133.0,53051.5,34.29,0.133
47,47,47,23638.0,31019.7,34.758,0.81
48,48,48,24141.0,54984.3,33.227,0.57
49,49,49,24644.0,48914.7,33.55475,0.339
50,50,50,25146.0,44639.5,33.4425,0.93
51,51,51,25649.0,12053.0,33.283,1.107
52,52,52,26150.0,78396.4,31.43125,0.243
53,53,53,26654.0,43589.5,30.35525,0.557
54,54,54,27157.0,38826.9,31.2835,0.199
55,55,55,27661.0,39417.5,30.812,0.214
56,56,56,28165.0,60320.6,30.37725,0.919
57,57,57,28667.0,49133.3,29.372,0.331
58,58,58,29168.0,45604.9,31.552,0.635
59,59,59,29671.0,40280.7,32.21025,0.767
60,60,60,30175.0,44843.6,31.6955,0.587
61,61,61,30676.0,49577.6,31.746,0.351
62,62,62,31180.0,34822.0,33.21175,0.837
63,63,63,31684.0,29830.4,34.4045,0.291
64,64,64,32187.0,49487.1,34.6075,0.549
65,65,65,32691.0,47057.4,33.3315,0.351
66,66,66,33196.0,48932.4,34.26925,0.434
67,67,67,33699.0,26408.1,34.85175,0.503
68,68,68,34202.0,49701.0,34.7345,0.997
69,69,69,34705.0,41851.4,35.22675,0.102
70,70,70,35207.0,43724.9,33.86125,0.192
71,71,71,35711.0,43812.5,31.829,0.483
72,72,72,36214.0,48084.3,32.063,0.197
73,73,73,36718.0,53649.5,30.90375,0.887
74,74,74,37220.0,53858.3,31.22425,0.285
75,75,75,37723.0,17380.8,32.4675,1.251
76,76,76,38224.0,55664.8,33.66475,1.03
77,77,77,38728.0,55737.3,33.224,0.209
78,78,78,39231.0,44671.8,34.39375,0.068
79,79,79,39733.0,36200.8,33.6105,1.26
80,80,80,40236.0,37891.2,34.25525,0.346
81,81,81,40738.0,44790.3,33.2985,0.413
82,82,82,41242.0,50792.9,32.75675,1.092
83,83,83,41745.0,39877.5,33.58875,0.759
84,84,84,42250.0,49560.4,34.53875,0.657
85,85,85,42753.0,49384.0,35.697,0.369
86,86,86,43255.0,38370.5,36.925,0.758
87,87,87,43757.0,46416.5,37.025,0.14
88,88,88,44258.0,41476.6,38.00675,0.511
89,89,89,44761.0,31064.3,37.603,0.52
90,90,90,45265.0,20108.4,34.81175,0.71
91,91,91,45769.0,72237.2,34.528,0.637
92,92,92,46273.0,42533.3,33.309,0.353
93,93,93,46776.0,52431.6,32.76425,0.573
94,94,94,47279.0,42419.5,33.02125,0.414
95,95,95,47782.0,26519.8,35.3975,0.756
96,96,96,48283.0,28847.6,38.31275,0.36
97,97,97,48786.0,39428.8,37.67975,0.471
98,98,98,49290.0,43793.9,38.70575,0.729
99,99,99,49793.0,43999.6,36.47625,0.149
100,100,100,50297.0,35463.4,35.84475,0.615
101,101,101,50800.0,38780.6,34.48775,1.543
102,102,102,51304.0,19145.4,34.26125,0.614
103,103,103,51806.0,55366.7,31.99225,0.676
104,104,104,52309.0,57834.6,29.4165,0.424
105,105,105,52812.0,37656.7,29.7085,0.317
106,106,106,53315.0,49315.4,27.85425,1.093
107,107,107,53818.0,36761.6,30.33425,0.404
108,108,108,54321.0,50087.8,29.37325,0.816
109,109,109,54824.0,36256.9,32.1875,0.63
110,110,110,55327.0,34645.0,32.6845,0.534
111,111,111,55829.0,43017.9,33.606,0.289
112,112,112,56330.0,40268.6,33.7275,0.067
113,113,113,56833.0,37673.6,33.79,0.314
114,114,114,57336.0,48866.6,33.94575,0.499
115,115,115,57839.0,48187.5,36.85925,0.518
116,116,116,58341.0,35699.8,38.6585,0.555
117,117,117,58843.0,13861.6,38.5785,0.452
118,118,118,59344.0,36023.3,39.488,0.642
119,119,119,59847.0,43565.8,38.887,0.735
120,120,120,60351.0,55468.3,35.73125,0.676
121,121,121,60852.0,41049.7,35.564,0.242
122,122,122,61355.0,37477.0,34.6175,0.329
123,123,123,61858.0,40626.0,32.512,0.609
124,124,124,62361.0,42094.5,32.99775,0.445
125,125,125,62864.0,35513.0,31.7305,0.296
126,126,126,63367.0,57669.5,32.55275,0.47
127,127,127,63869.0,46145.9,33.74475,0.688
128,128,128,64372.0,46688.2,34.21475,0.693
129,129,129,64875.0,39995.9,34.1,0.925
130,130,130,65378.0,48406.7,33.35825,0.187
131,131,131,65882.0,48614.3,33.04325,0.295
132,132,132,66385.0,53196.1,32.59975,0.295
133,133,133,66889.0,57780.6,33.34675,1.097
134,134,134,67391.0,36096.0,35.16825,0.439
135,135,135,67895.0,49563.8,36.3515,0.975
136,136,136,68397.0,40041.7,37.702,1.033
137,137,137,68901.0,41085.9,38.47125,0.638
138,138,138,69404.0,30424.9,38.53425,0.364
139,139,139,69907.0,50861.1,36.089,0.483
140,140,140,70410.0,35698.0,34.88975,0.253
141,141,141,70914.0,47213.7,35.13075,0.73
142,142,142,71418.0,20002.4,32.866,0.639
143,143,143,71921.0,59222.8,32.13225,0.232
144,144,144,72424.0,43592.9,32.886,0.118
145,145,145,72927.0,37437.9,32.95975,0.172
146,146,146,73430.0,37830.5,33.602,0.45
147,147,147,73934.0,40334.0,34.1735,0.239
148,148,148,74437.0,50098.9,33.04825,0.54
149,149,149,74940.0,49866.8,33.98125,0.547
150,150,150,75442.0,35978.1,32.923,0.195
151,151,151,75945.0,58549.1,32.7695,1.011
152,152,152,76448.0,47666.4,33.134,1.46
153,153,153,76952.0,27113.1,30.92,0.874
154,154,154,77454.0,50946.7,30.04125,0.542
155,155,155,77958.0,45621.4,29.7885,0.763
156,156,156,78461.0,56505.3,28.72625,0.55
157,157,157,78964.0,40449.2,30.72225,0.679
158,158,158,79467.0,33806.0,29.7385,0.785
159,159,159,79968.0,54137.7,29.64975,0.295
160,160,160,80471.0,59373.2,29.10375,0.421
