,time (ms),bandwidth (Kbps),Latency (ms),Loss rate (%)
0,5.0,14000.0,91.353,0.0
1,508.0,4620.0,61.201,50.0
2,1012.0,48300.0,89.189,0.0
3,1515.0,22100.0,103.58,0.0
4,2017.0,88000.0,268.213,50.0
5,2521.0,22600.0,241.159,0.0
6,3025.0,46800.0,451.276,0.0
7,3527.0,39500.0,217.701,0.0
8,4030.0,46800.0,271.229,0.0
9,4540.0,42600.0,273.372,0.0
10,5044.0,36000.0,274.449,0.0
11,5547.0,23600.0,401.464,20.0
12,6050.0,55600.0,212.668,0.0
13,6551.0,50900.0,251.635,0.0
14,7054.0,36000.0,181.907,0.0
15,7558.0,35500.0,287.125,0.0
16,8061.0,54400.0,213.756,0.0
17,8564.0,40600.0,199.206,0.0
18,9068.0,58600.0,222.881,0.0
19,9571.0,43700.0,195.858,0.0
20,10073.0,4620.0,304.639,0.0
21,10576.0,40000.0,338.066,20.0
22,11078.0,23200.0,129.186,0.0
23,11581.0,38300.0,136.003,0.0
24,12085.0,50100.0,127.563,0.0
25,12588.0,39200.0,94.951,0.0
26,13091.0,34400.0,127.194,0.0
27,13594.0,28800.0,144.539,0.0
28,14097.0,40600.0,141.669,0.0
29,14600.0,31300.0,106.921,0.0
30,15103.0,27200.0,174.18,0.0
31,15605.0,35400.0,311.441,0.0
32,16108.0,43700.0,193.567,0.0
33,16609.0,12900.0,130.437,10.0
34,17112.0,31300.0,262.842,0.0
35,17616.0,26700.0,168.7,0.0
36,18118.0,36000.0,207.123,0.0
37,18621.0,23100.0,139.788,0.0
38,19123.0,35000.0,179.38,0.0
39,19627.0,30300.0,125.072,0.0
40,20130.0,34400.0,135.251,0.0
41,20633.0,33400.0,113.589,0.0
42,21135.0,30300.0,128.185,0.0
43,21638.0,40600.0,163.806,0.0
44,22141.0,35400.0,131.685,0.0
45,22643.0,40500.0,110.794,0.0
46,23147.0,40600.0,113.569,0.0
47,23651.0,45200.0,133.532,0.0
48,24152.0,27300.0,138.045,0.0
49,24654.0,30300.0,156.789,0.0
50,25157.0,46800.0,176.082,0.0
51,25659.0,38600.0,129.967,0.0
52,26163.0,41600.0,123.992,0.0
53,26665.0,35400.0,141.421,0.0
54,27169.0,31300.0,198.289,0.0
55,27670.0,27800.0,137.133,0.0
56,28173.0,48300.0,205.982,0.0
57,28676.0,18000.0,146.334,0.0
58,29179.0,26700.0,98.047,0.0
59,29681.0,33400.0,159.579,0.0
60,30185.0,41100.0,107.169,0.0
