,time (ms),bandwidth (Kbps),Latency (ms),Loss rate (%)
0,2.0,126000.0,29.766,0.0
1,509.0,4120.0,31.647,0.0
2,1012.0,25200.0,29.666,0.0
3,1515.0,29300.0,29.418,0.0
4,2017.0,17000.0,29.294,0.0
5,2520.0,8230.0,29.774,0.0
6,3024.0,37000.0,29.612,0.0
7,3527.0,17000.0,28.632,0.0
8,4029.0,16400.0,28.983,0.0
9,4532.0,25200.0,28.669,0.0
10,5035.0,16500.0,28.889,0.0
11,5536.0,16400.0,28.347,0.0
12,6039.0,20600.0,28.606,0.0
13,6541.0,20500.0,29.336,0.0
14,7045.0,20600.0,28.622,0.0
15,7549.0,16500.0,28.92,0.0
16,8052.0,17000.0,29.477,0.0
17,8555.0,25200.0,28.881,0.0
18,9058.0,16500.0,28.692,0.0
19,9562.0,17000.0,28.602,0.0
20,10066.0,21100.0,28.711,0.0
21,10568.0,20600.0,28.482,0.0
22,11071.0,16400.0,28.956,0.0
23,11575.0,20600.0,28.71,0.0
24,12076.0,20600.0,28.891,0.0
25,12578.0,21000.0,29.528,0.0
26,13081.0,17000.0,29.342,0.0
27,13584.0,20600.0,28.392,0.0
28,14085.0,16400.0,29.101,0.0
29,14587.0,21100.0,28.533,0.0
30,15090.0,16400.0,31.296,0.0
31,15593.0,21000.0,29.173,0.0
32,16096.0,20500.0,29.138,0.0
33,16599.0,17000.0,29.343,0.0
34,17102.0,16500.0,28.325,0.0
35,17605.0,21600.0,29.41,0.0
36,18108.0,20500.0,28.784,0.0
37,18611.0,21100.0,28.814,0.0
38,19112.0,16400.0,28.727,0.0
39,19615.0,21600.0,29.3,0.0
40,20118.0,21100.0,28.945,0.0
41,20620.0,17000.0,28.982,0.0
42,21123.0,16900.0,29.434,0.0
43,21626.0,20600.0,28.765,0.0
44,22130.0,17500.0,30.358,0.0
45,22633.0,21600.0,29.3,0.0
46,23135.0,17000.0,28.676,0.0
47,23638.0,21600.0,29.968,0.0
