,time (ms),bandwidth (Kbps),Latency (ms),Loss rate (%)
0,471,11513.0,30.000,0.303
1,954,29558.2,39.754,0.283
2,1467,12327.1,33.096,0.321
3,1931,14514.5,49.178,0.269
4,2441,27723.1,40.967,0.244
5,2982,36458.7,30.000,0.326
6,3466,29668.9,40.943,0.246
7,3944,30099.4,33.623,0.296
8,4430,24462.3,39.459,0.284
9,4917,27853.0,30.000,0.311
10,5430,21109.0,30.000,0.336
11,5899,1749.9,186.983,16.316
12,6391,3917.0,180.545,12.430
13,6867,2029.9,325.376,17.869
14,7335,2889.5,269.804,14.696
15,7874,4244.1,258.962,12.392
16,8405,27142.0,41.548,0.292
17,8871,13813.5,34.876,0.328
18,9361,12039.7,41.250,0.253
19,9824,31471.0,30.000,0.356
20,10300,28433.6,32.614,0.337
21,10788,23259.1,48.406,0.279
22,11249,27383.2,30.000,0.276
23,11721,3192.2,283.134,7.536
24,12188,2564.7,229.784,12.936
25,12689,3141.4,265.821,9.194
26,13148,1000.0,191.637,14.408
27,13609,2988.2,281.149,10.123
28,14114,33312.0,30.000,0.322
29,14586,25749.7,30.000,0.258
30,15114,14835.4,30.000,0.247
31,15599,28321.8,30.000,0.270
32,16118,18024.0,31.879,0.305
33,16630,20378.1,30.000,0.243
34,17156,28575.4,30.620,0.359
35,17673,23290.4,30.638,0.270
36,18153,27931.5,32.944,0.360
37,18631,17326.0,53.506,1.867
38,19175,15942.8,65.286,2.122
39,19697,19095.2,59.450,2.139
40,20216,11761.2,56.138,1.598
41,20733,19563.7,36.341,1.685
42,21205,13235.7,49.061,1.862
43,21673,18753.6,66.291,1.709
44,22207,4998.6,53.832,2.123
45,22738,19770.7,62.069,1.939
46,23266,15777.5,53.870,1.936
47,23732,12856.0,32.502,1.995
48,24254,2138.2,304.025,11.644
49,24767,1753.7,234.035,11.345
50,25298,3351.3,228.481,13.926
51,25749,1659.3,270.852,13.660
52,26291,4488.1,210.251,11.038
53,26793,3319.9,332.852,14.062
54,27343,15483.1,41.114,1.557
55,27802,5296.5,49.671,1.686
56,28300,13567.0,58.996,2.149
57,28811,17500.4,42.218,1.753
58,29267,6170.8,44.788,1.966
59,29750,5123.2,40.122,1.793
60,30206,21149.1,45.931,1.872
61,30681,13995.3,61.211,1.523
62,31231,17349.1,47.682,1.832
63,31704,16517.4,51.172,1.757
64,32187,7999.0,50.208,1.502
65,32681,12064.9,50.291,1.484
66,33180,15128.3,30.415,1.782
67,33660,10882.5,47.374,2.088
68,34183,13394.4,62.245,1.564
69,34654,22615.8,57.364,2.152
70,35159,20990.0,58.048,1.670
71,35702,11520.9,42.900,1.639
72,36210,12285.7,35.129,1.521
73,36679,14350.9,51.247,2.106
74,37201,8534.6,63.860,2.072
75,37684,11905.2,47.859,1.638
76,38152,17301.0,41.816,2.073
77,38690,20324.9,68.739,1.455
78,39178,13930.3,59.556,2.140
79,39657,13273.6,32.486,1.634
80,40160,10978.6,58.750,1.789
81,40676,4150.2,64.605,3.764
82,41198,2977.0,274.937,16.919
83,41738,2352.7,267.205,15.639
84,42203,4841.4,227.587,17.080
85,42713,13470.8,66.495,3.821
86,43258,4675.1,88.664,3.669
87,43735,11805.8,66.525,3.181
88,44187,7865.6,65.315,2.815
89,44659,3283.8,72.897,3.916
90,45191,7590.4,76.604,2.928
91,45679,7329.3,66.291,3.315
92,46213,10839.3,57.566,3.013
93,46750,5908.8,57.383,2.985
94,47291,5389.6,74.558,2.957
95,47748,13352.6,58.110,3.539
96,48290,2135.7,294.384,11.412
97,48830,4039.6,369.695,17.508
98,49361,2160.9,353.427,16.903
99,49895,2172.8,363.900,11.018
100,50416,3411.4,286.259,14.117
101,50894,7894.5,63.816,3.077
102,51377,14948.5,72.453,3.477
103,51901,7116.4,49.895,3.144
104,52389,9397.0,30.261,1.769
105,52879,6075.5,35.423,1.666
106,53336,5550.7,253.427,15.088
107,53883,2393.8,229.329,12.442
108,54394,3774.7,310.349,17.600
109,54885,3036.2,340.482,12.761
110,55423,23597.4,48.229,1.802
111,55912,19722.3,47.527,1.964
112,56438,21165.2,47.927,2.157
113,56950,10966.6,58.851,1.604
114,57493,6505.8,44.875,1.952
115,57947,17940.3,51.860,1.868
116,58403,12461.6,65.182,1.740
117,58901,11452.4,54.199,1.447
118,59404,23849.7,48.292,1.539
119,59867,23413.7,46.423,1.798
120,60394,13847.5,54.662,1.653
121,60849,23951.3,45.666,1.609
122,61300,13761.9,57.589,1.547
123,61761,7950.6,61.881,1.769
124,62248,9505.1,63.753,1.699
125,62784,12438.9,63.937,1.473
126,63251,11052.4,37.109,2.073
127,63712,20127.7,57.634,1.769
128,64211,20652.5,31.624,1.560
129,64677,14977.1,55.591,1.865
130,65199,11046.6,48.475,1.933
131,65742,12677.7,57.809,1.473
132,66225,13660.9,33.701,1.961
133,66703,4487.5,82.156,5.235
134,67214,3559.2,75.673,4.912
135,67742,7530.2,100.731,5.476
136,68213,8241.8,91.516,3.937
137,68691,10291.4,91.658,4.693
138,69214,4260.5,85.248,4.795
139,69747,3164.1,357.303,20.750
140,70276,3281.8,326.911,17.078
141,70769,2181.3,341.393,17.453
142,71317,1360.6,359.024,13.397
143,71851,2070.6,305.366,19.303
144,72371,5025.9,89.092,4.155
145,72838,4415.3,83.552,4.216
146,73303,5827.3,73.192,5.216
147,73766,3498.5,87.590,5.552
148,74274,4094.6,97.793,4.858
149,74730,6759.8,70.449,5.340
150,75202,1729.7,101.648,5.004
151,75693,6773.4,112.068,5.304
152,76178,4428.4,85.047,4.105
153,76705,8476.9,85.296,5.493
154,77246,7964.2,91.398,5.212
155,77783,6343.4,104.392,5.680
156,78297,4660.9,85.830,4.920
157,78821,1721.7,75.582,5.455
158,79307,6645.3,94.730,4.571
159,79763,3172.8,94.363,4.321
