,time (ms),bandwidth (Kbps),Latency (ms),Loss rate (%)
0,502,31563.5,55.331,0.779
1,982,21930.9,30.158,0.310
2,1461,24057.5,52.775,0.298
3,1970,31098.7,68.360,0.050
4,2440,47242.7,66.183,0.720
5,2944,29477.2,43.930,0.050
6,3432,32473.2,64.037,0.050
7,3955,30620.0,42.055,0.624
8,4494,23804.8,89.767,0.082
9,5016,24627.5,67.227,0.050
10,5472,41196.7,36.791,0.837
11,6021,15009.7,56.196,0.050
12,6516,31005.4,59.557,0.297
13,7064,43428.7,34.532,0.050
14,7594,39211.5,62.084,1.155
15,8048,33457.9,30.000,0.050
16,8509,35999.2,42.825,0.050
17,9059,32712.0,30.000,0.050
18,9576,23618.6,49.865,0.867
19,10087,45229.1,62.283,0.215
20,10580,33005.2,34.109,1.046
21,11058,36106.4,65.363,0.050
22,11558,44151.5,44.465,0.050
23,12009,40567.2,49.301,0.556
24,12506,24429.7,30.175,0.050
25,13003,22464.1,30.000,0.424
26,13524,24831.4,68.163,0.050
27,14033,20905.6,60.717,0.071
28,14535,31811.1,53.058,1.914
29,14999,36149.3,75.676,0.899
30,15466,24106.2,59.302,1.033
31,15985,26136.8,30.000,0.701
32,16454,38773.9,35.572,0.647
33,16939,20431.5,64.129,0.398
34,17445,24479.4,53.749,0.050
35,17942,47101.6,30.000,0.050
36,18437,35968.3,54.475,1.496
37,18945,26127.0,58.686,0.488
38,19476,28637.8,48.213,0.386
39,19942,24181.5,52.341,0.050
40,20489,19980.5,43.342,0.441
41,21038,24624.3,69.341,1.159
42,21488,26075.7,92.514,0.921
43,21960,29219.3,73.201,0.939
44,22426,44071.9,52.471,0.334
45,22898,37056.2,49.247,0.559
46,23401,16939.4,45.950,0.050
47,23916,32064.0,36.316,0.050
48,24394,32243.4,48.498,0.508
49,24910,14280.0,43.135,0.981
50,25363,38476.2,56.388,0.050
51,25875,37057.7,46.199,0.050
52,26335,35877.4,54.825,0.050
53,26826,22515.0,35.172,0.759
54,27313,19547.9,55.866,0.932
55,27846,37262.7,35.027,0.050
56,28388,35629.8,38.101,0.694
57,28896,24653.5,30.488,0.781
58,29386,19397.6,59.853,0.097
59,29896,33270.1,75.839,0.687
60,30357,17974.8,60.287,0.116
61,30814,33030.7,33.510,0.050
62,31306,26036.4,36.479,1.134
63,31810,16418.9,66.198,0.050
64,32296,23986.2,41.763,0.050
65,32830,27398.0,30.000,0.408
66,33324,34319.3,38.143,0.352
67,33828,19580.3,72.878,0.050
68,34357,21322.9,35.914,1.435
69,34895,33022.2,48.965,0.614
70,35434,31405.9,30.000,0.112
71,35902,34075.8,36.118,0.095
72,36370,28787.9,30.000,0.815
73,36868,35362.5,38.005,0.520
74,37365,27324.3,62.300,0.928
75,37821,26122.5,64.053,0.995
76,38277,22127.9,55.513,0.050
77,38754,24844.4,50.229,0.054
78,39259,39239.5,64.496,0.050
79,39748,24593.4,64.436,0.441
80,40274,35093.0,53.423,1.104
81,40821,25398.3,49.536,0.746
82,41271,21510.1,50.262,0.724
83,41750,37157.7,30.000,0.298
84,42245,44310.7,63.057,0.394
85,42704,30408.8,62.721,0.050
86,43227,20563.4,62.119,0.175
87,43718,37902.5,67.173,1.371
88,44226,38856.9,30.000,1.120
89,44707,38116.3,36.050,0.499
90,45167,24531.2,57.875,0.060
91,45638,36091.4,68.845,0.627
92,46155,12640.2,47.962,0.050
93,46687,40464.4,54.376,0.050
94,47155,29814.8,59.254,0.784
95,47614,41062.1,61.413,1.072
96,48127,19958.9,54.339,0.050
97,48649,24208.4,30.000,0.050
98,49140,37392.2,34.128,0.410
99,49646,32444.8,31.852,0.050
100,50171,38932.4,56.169,0.097
