,time (ms),bandwidth (Kbps),Latency (ms),Loss rate (%)
0,495,15967.6,30.000,0.739
1,978,8637.8,49.934,1.083
2,1459,23473.8,76.562,4.150
3,2007,14793.3,56.693,2.161
4,2547,13594.4,61.579,0.100
5,3089,16338.8,58.503,2.004
6,3625,4513.0,48.599,0.775
7,4173,30660.9,65.575,0.720
8,4659,19980.6,234.079,7.965
9,5177,18061.5,56.598,2.774
10,5661,33996.5,81.006,0.863
11,6196,21133.0,71.840,1.099
12,6675,34770.5,66.689,1.406
13,7223,20492.9,93.573,3.465
14,7693,5504.1,85.821,2.323
15,8168,17117.7,60.611,0.678
16,8654,11710.7,30.000,2.606
17,9172,31963.8,57.231,0.100
18,9626,2000.0,227.034,13.558
19,10176,29305.6,30.000,1.568
20,10663,25975.4,58.091,1.066
21,11155,23026.7,47.046,4.436
22,11674,4265.5,53.614,2.288
23,12158,33846.1,63.438,1.958
24,12628,3196.9,172.573,2.712
25,13150,22003.6,48.347,0.406
26,13651,15838.4,71.195,0.435
27,14112,21363.8,65.226,2.632
28,14593,23691.8,79.656,1.542
29,15100,25585.8,30.000,0.986
30,15551,40174.9,58.631,2.442
31,16031,29639.0,63.817,1.144
32,16545,34554.3,97.045,0.528
33,17093,23131.6,69.271,2.223
34,17621,3385.2,201.456,7.942
35,18124,11357.8,46.862,0.100
36,18670,10637.4,53.100,1.649
37,19216,32392.6,30.994,0.503
38,19733,10266.3,70.245,2.637
39,20190,31073.8,80.516,0.100
40,20665,7081.1,173.155,3.769
41,21206,30396.7,52.431,1.282
42,21721,21813.0,62.273,2.200
43,22243,32639.8,80.832,1.895
44,22732,23322.2,40.201,2.171
45,23256,9871.0,78.826,1.965
46,23795,50000.0,85.000,1.847
47,24305,23488.9,80.102,1.703
48,24853,34443.7,81.540,1.166
49,25350,2000.0,222.229,6.547
50,25810,18960.0,33.142,0.100
51,26304,21441.1,106.195,3.632
52,26804,9130.8,54.184,1.514
53,27256,25821.9,82.099,1.350
54,27798,13155.5,53.207,1.835
55,28292,18245.6,67.257,2.035
56,28834,25248.7,54.906,0.761
57,29286,3210.6,187.740,4.179
58,29742,16013.8,60.199,1.801
59,30248,25687.6,73.931,1.723
60,30762,22425.1,74.597,1.470
61,31305,13346.2,47.919,1.761
62,31785,6714.1,56.446,2.027
63,32319,3831.5,277.568,6.038
64,32791,17582.0,44.978,0.100
65,33323,25736.8,43.346,0.100
66,33813,21609.4,40.667,1.303
67,34331,31064.2,30.000,1.822
68,34819,28492.4,51.286,1.165
69,35321,25793.2,85.010,1.243
70,35788,19136.8,69.899,1.304
71,36295,28553.6,65.049,1.139
72,36837,14612.7,195.482,9.130
73,37384,25956.1,34.565,0.720
74,37861,4988.8,65.211,0.251
75,38312,46755.8,63.086,2.131
76,38856,50000.0,112.948,0.761
77,39383,25984.4,54.242,0.537
78,39863,8225.9,216.730,6.469
79,40359,18092.8,36.620,1.406
80,40821,30216.1,30.000,1.564
81,41297,16237.0,45.780,2.250
82,41819,35803.0,35.207,2.763
83,42343,26291.6,41.723,1.004
84,42812,27398.2,73.642,0.820
85,43332,21811.4,42.855,0.245
86,43814,25971.1,36.919,1.229
87,44322,2000.0,163.559,9.319
88,44841,2754.5,63.272,0.117
89,45298,21250.3,30.000,1.214
90,45757,38982.2,49.970,1.593
91,46287,14729.7,63.648,3.057
92,46738,27154.8,81.645,2.823
93,47266,12641.7,241.333,8.365
94,47768,37244.3,61.827,1.074
95,48220,50000.0,30.000,1.478
96,48725,32581.0,30.000,1.852
97,49194,27803.2,61.577,2.888
98,49676,28142.2,45.531,0.729
99,50177,30831.3,45.562,1.690
100,50716,27293.9,90.011,2.340
101,51249,2079.3,223.630,8.388
