,time (ms),bandwidth (Kbps),Latency (ms),Loss rate (%)
0,1.0,50200.0,28.244,0.0
1,538.0,63200.0,27.97,0.0
2,1050.0,85400.0,29.047,0.0
3,1574.0,147000.0,30.144,10.0
4,2078.0,233000.0,30.198,0.0
5,2598.0,142000.0,34.289,0.0
6,3112.0,78200.0,28.015,20.0
7,3620.0,89500.0,28.382,0.0
8,4122.0,89800.0,28.472,0.0
9,4639.0,98000.0,28.73,0.0
10,5146.0,94700.0,28.044,0.0
11,5646.0,92000.0,28.765,0.0
12,6154.0,96100.0,28.257,0.0
13,6661.0,91700.0,28.422,0.0
14,7176.0,98500.0,27.854,0.0
15,7681.0,94300.0,28.023,0.0
16,8188.0,98500.0,28.485,0.0
17,8692.0,106000.0,27.917,0.0
18,9198.0,109000.0,27.823,0.0
19,9699.0,86500.0,27.946,0.0
20,10207.0,82100.0,28.056,0.0
21,10708.0,93600.0,28.727,0.0
22,11209.0,96800.0,28.563,0.0
23,11718.0,101000.0,28.007,0.0
24,12220.0,103000.0,28.145,0.0
25,12726.0,87600.0,28.42,0.0
26,13249.0,45700.0,28.077,0.0
27,13751.0,39500.0,27.977,0.0
28,14271.0,98700.0,28.238,0.0
29,14778.0,151000.0,31.458,0.0
30,15293.0,156000.0,28.303,0.0
31,15873.0,80300.0,28.476,0.0
32,16374.0,73800.0,29.152,0.0
33,16880.0,79800.0,28.391,0.0
34,17394.0,73200.0,28.408,0.0
35,17898.0,88500.0,28.882,0.0
36,18402.0,84300.0,28.219,0.0
37,18906.0,92200.0,29.068,10.0
38,19407.0,69500.0,28.276,0.0
39,19909.0,87700.0,28.325,0.0
40,20411.0,80300.0,28.467,0.0
41,20914.0,86800.0,28.593,0.0
42,21421.0,88000.0,28.942,0.0
43,21925.0,82900.0,28.361,0.0
44,22428.0,90100.0,28.52,0.0
45,22929.0,88700.0,28.826,0.0
46,23438.0,82400.0,29.266,10.0
47,23940.0,96300.0,28.447,0.0
48,24443.0,91700.0,28.324,10.0
49,24963.0,99100.0,28.047,0.0
50,25465.0,107000.0,28.258,0.0
51,25985.0,112000.0,28.897,0.0
52,26512.0,119000.0,29.717,0.0
53,27013.0,129000.0,28.916,0.0
54,27533.0,137000.0,29.294,0.0
55,28042.0,151000.0,28.558,0.0
56,28559.0,93500.0,28.46,0.0
57,29079.0,83900.0,30.003,0.0
58,29585.0,83500.0,28.459,0.0
59,30102.0,95900.0,28.641,0.0
60,30610.0,94800.0,28.558,0.0
61,31113.0,93700.0,28.505,0.0
62,31622.0,98200.0,29.01,0.0
63,32134.0,98200.0,28.443,0.0
64,32658.0,96400.0,28.277,0.0
65,33170.0,98100.0,29.177,0.0
66,33676.0,95000.0,29.213,0.0
67,34188.0,98300.0,28.279,0.0
68,34697.0,91500.0,28.624,0.0
69,35198.0,105000.0,28.082,0.0
70,35718.0,100000.0,28.114,0.0
71,36247.0,89800.0,28.271,0.0
72,36771.0,81000.0,28.253,0.0
73,37275.0,81400.0,28.194,0.0
74,37777.0,85200.0,28.217,0.0
75,38284.0,86400.0,28.357,0.0
76,38786.0,99400.0,28.741,0.0
77,39302.0,96000.0,28.189,0.0
78,39803.0,102000.0,28.479,0.0
79,40327.0,96600.0,28.428,0.0
80,40830.0,99500.0,28.129,0.0
81,41342.0,101000.0,28.072,0.0
82,41848.0,104000.0,28.268,0.0
83,42365.0,95200.0,28.413,0.0
84,42868.0,102000.0,28.585,0.0
85,43383.0,103000.0,27.87,0.0
86,43887.0,96400.0,28.634,0.0
87,44407.0,100000.0,28.339,0.0
88,44912.0,82700.0,28.122,0.0
89,45414.0,82700.0,28.12,0.0
90,45926.0,82900.0,27.943,0.0
91,46445.0,91200.0,27.999,0.0
92,46947.0,98600.0,28.461,0.0
93,47469.0,97100.0,29.026,0.0
94,47991.0,103000.0,28.411,0.0
95,48493.0,105000.0,28.298,0.0
96,49011.0,99700.0,28.363,0.0
97,49536.0,109000.0,28.13,0.0
98,50064.0,102000.0,27.951,0.0
99,50587.0,81000.0,28.233,0.0
100,51088.0,80500.0,28.015,0.0
101,51606.0,83700.0,28.928,0.0
102,52109.0,95800.0,28.175,0.0
103,52627.0,92500.0,28.219,0.0
104,53130.0,101000.0,28.172,0.0
105,53649.0,97600.0,28.443,0.0
106,54154.0,96500.0,29.605,0.0
107,54671.0,112000.0,28.577,0.0
108,55180.0,99800.0,28.577,0.0
109,55681.0,101000.0,28.549,0.0
110,56183.0,104000.0,28.393,0.0
111,56685.0,81200.0,28.002,0.0
112,57187.0,73600.0,32.645,10.0
113,57690.0,89900.0,32.63,10.0
114,58192.0,94500.0,28.443,0.0
115,58693.0,99800.0,28.541,0.0
116,59194.0,92200.0,28.367,0.0
117,59698.0,103000.0,28.205,0.0
118,60203.0,96700.0,28.031,0.0
119,60708.0,103000.0,28.056,0.0
120,61210.0,105000.0,28.861,0.0
121,61713.0,103000.0,28.335,0.0
122,62217.0,96300.0,27.885,0.0
123,62721.0,83000.0,28.74,0.0
124,63222.0,80800.0,28.655,0.0
125,63728.0,85800.0,28.048,0.0
126,64231.0,96600.0,28.095,0.0
127,64734.0,95900.0,27.948,0.0
128,65242.0,99000.0,28.172,0.0
129,65746.0,99600.0,27.967,0.0
130,66248.0,102000.0,28.092,0.0
131,66758.0,100000.0,27.885,0.0
132,67261.0,105000.0,29.358,0.0
133,67771.0,104000.0,27.922,0.0
134,68278.0,89000.0,28.105,0.0
135,68790.0,76900.0,28.021,0.0
136,69294.0,85500.0,28.084,0.0
137,69796.0,92500.0,28.662,0.0
138,70307.0,94500.0,27.766,0.0
139,70809.0,95400.0,28.215,0.0
140,71312.0,98600.0,28.255,0.0
141,71813.0,103000.0,27.881,0.0
142,72320.0,102000.0,28.107,0.0
143,72828.0,105000.0,27.98,0.0
144,73347.0,103000.0,28.216,0.0
145,73848.0,105000.0,27.863,0.0
146,74350.0,76400.0,27.943,0.0
147,74857.0,81700.0,28.637,0.0
148,75359.0,86100.0,28.286,0.0
149,75860.0,91100.0,28.004,0.0
150,76362.0,97600.0,28.167,0.0
151,76867.0,97800.0,28.027,0.0
152,77371.0,98100.0,27.932,0.0
153,77875.0,100000.0,28.104,0.0
154,78387.0,104000.0,28.751,0.0
155,78888.0,106000.0,28.106,0.0
156,79389.0,101000.0,28.015,0.0
157,79906.0,104000.0,29.255,0.0
158,80423.0,67300.0,28.168,0.0
159,80925.0,89700.0,28.474,10.0
160,81427.0,89000.0,28.521,0.0
161,81931.0,86600.0,28.558,0.0
162,82438.0,96500.0,27.859,0.0
163,82942.0,101000.0,28.712,0.0
164,83445.0,106000.0,28.715,0.0
165,83946.0,95300.0,29.189,0.0
166,84456.0,104000.0,28.095,0.0
167,84967.0,108000.0,28.896,0.0
168,85470.0,105000.0,28.161,0.0
169,85978.0,94500.0,31.205,10.0
170,86479.0,74500.0,28.559,0.0
171,86981.0,76000.0,28.683,0.0
172,87487.0,89800.0,28.606,0.0
173,87995.0,100000.0,29.211,0.0
174,88497.0,93200.0,30.353,0.0
175,88998.0,99800.0,28.577,0.0
176,89507.0,108000.0,28.203,0.0
177,90012.0,102000.0,28.844,0.0
178,90514.0,102000.0,28.713,0.0
179,91016.0,102000.0,28.131,0.0
180,91522.0,99100.0,29.416,0.0
181,92028.0,90200.0,28.611,0.0
182,92530.0,82800.0,28.372,0.0
183,93031.0,78000.0,29.457,0.0
184,93540.0,96700.0,28.55,0.0
185,94042.0,93400.0,28.455,0.0
186,94544.0,96500.0,29.009,0.0
187,95046.0,102000.0,28.976,0.0
188,95549.0,100000.0,28.344,0.0
189,96058.0,97500.0,28.328,0.0
190,96561.0,103000.0,28.8,0.0
191,97065.0,107000.0,28.378,0.0
192,97572.0,96900.0,28.559,0.0
193,98075.0,89200.0,28.08,0.0
194,98578.0,79700.0,28.046,0.0
195,99084.0,84700.0,28.716,0.0
196,99587.0,92900.0,28.068,0.0
197,100088.0,92600.0,30.748,10.0
198,100590.0,96700.0,31.074,10.0
199,101096.0,99800.0,28.244,0.0
