,time (ms),bandwidth (Kbps),Latency (ms),Loss rate (%)
0,531,41293.5,40.296,0.198
1,998,34362.1,27.513,0.457
2,1459,33929.1,34.316,0.137
3,1938,33841.0,34.961,0.180
4,2471,33429.9,30.027,0.280
5,2956,35208.3,34.468,0.422
6,3495,31433.0,36.885,0.186
7,4042,33858.1,36.887,0.139
8,4536,27788.1,29.498,0.392
9,5054,43000.7,42.983,0.132
10,5541,38321.3,28.905,0.445
11,6064,35673.5,36.775,0.365
12,6612,34500.5,36.977,0.193
13,7074,30990.8,38.759,0.434
14,7544,32650.2,37.497,0.207
15,8081,30903.5,29.506,0.168
16,8624,35181.6,40.567,0.208
17,9155,33666.1,31.741,0.230
18,9703,35586.5,31.442,0.113
19,10193,33495.1,36.077,0.465
20,10715,38099.8,31.953,0.362
21,11215,40372.6,30.244,0.157
22,11682,35136.0,41.418,0.205
23,12206,29039.9,37.877,0.245
24,12673,32820.9,34.869,0.119
25,13137,36692.5,37.419,0.372
26,13663,39516.9,36.905,0.498
27,14180,34943.6,41.347,0.477
28,14717,33616.1,27.562,0.315
29,15201,35531.6,30.472,0.217
30,15671,23120.6,38.555,0.450
31,16154,43339.7,33.511,0.303
32,16617,37891.8,31.941,0.356
33,17144,36526.7,39.592,0.165
34,17693,44892.6,29.757,0.340
35,18205,46417.2,36.404,0.451
36,18694,35245.8,38.704,0.327
37,19154,39953.1,37.957,0.128
38,19701,32462.2,34.471,0.364
39,20221,38113.2,40.274,0.343
40,20698,42566.2,31.376,0.376
41,21239,28827.9,50.111,0.360
42,21745,39425.3,31.768,0.199
43,22203,31498.6,40.667,0.192
44,22681,42835.6,35.354,0.124
45,23139,43209.7,29.452,0.128
46,23619,33974.2,40.672,0.316
47,24161,40978.7,32.436,0.289
48,24711,29961.5,35.864,0.138
49,25245,30236.4,37.203,0.287
50,25788,41861.6,37.430,0.358
51,26245,31273.6,37.615,0.445
52,26726,37224.2,40.786,0.156
53,27199,34323.7,38.730,0.469
54,27705,38509.5,25.804,0.139
55,28238,44507.9,34.957,0.488
56,28784,36752.6,32.546,0.294
57,29261,42116.0,26.893,0.166
58,29711,38908.6,34.638,0.414
59,30219,33303.6,42.534,0.392
60,30769,27523.5,32.267,0.162
61,31256,35349.9,36.700,0.394
62,31713,34978.2,33.285,0.334
63,32227,40381.3,32.015,0.123
64,32742,37808.4,36.547,0.338
65,33278,38285.9,31.119,0.477
66,33800,35159.7,41.716,0.348
67,34303,31452.6,29.609,0.227
68,34786,37249.4,42.610,0.195
69,35286,39900.3,40.276,0.283
70,35832,35629.1,34.731,0.348
71,36354,36949.8,34.952,0.185
72,36837,38118.9,38.426,0.128
