timestamp,EMALR_10_3,EMAEFR_5_2,EMALRR_5_2,I_inv_EMALR_10,EFR_LRR_diff,M_5,EFR,LRR,EMAEFR_5,EMALRR_5,delta_I,M,EMALR_10_3,Reward,cur_baseline_Ireward,I,func_time
1772702683293878,0,0,0,3.91468e+08,0,0.2,0,0,0,0,0,1,0,0,0,7,-6148914691236517206
1772702684293936,0,0,0,0.478516,-0.9999,0.2,0,1,0,0.5,0,1,0,0,0,14,-6148914691236517206
1772702685293949,0,0,-0.333333,0.638021,-0.9999,0.2,0,1,0,0.666667,0,1,0,0,0,21,-6148914691236517206
1772702686293967,0.0113932,-0.12451,-0.25,1.07666,-0.335056,0.2,0.498039,1,0.12451,0.75,0,1,0.0113932,0.961333,0.961333,22,2064
1772702689077440,0.00520833,-0.349412,-0.2,1.07422,-0.199988,0.2,0.666667,1,0.232941,0.8,1,1,0.00520833,0.978466,0.0171326,22,567
1772702689077440,-0.000651042,-0.300392,0,1.03841,-0.199988,0.2,0.666667,1,0.366275,1,0,1,-0.000651042,1.12461,0.161565,21,534
1772702690078138,0.000558036,-0.116471,0,1.05469,-0.335056,0.2,0.498039,1,0.465882,1,-1,1,0.000558036,0.94407,-0.0351334,20,1248
1772702691078128,-0.00244141,0.067451,0,1.0498,-0.335056,0.2,0.498039,1,0.56549,1,-1,1,-0.00244141,0.958315,-0.017375,19,1016
1772702692078162,0.000434028,0.216863,0,0.886502,-0.9999,0.2,0,1,0.465882,1,-1,1,0.000434028,0.66518,-0.308772,19,1021
1772702693078182,0.00221354,0.183137,0,0.90918,-0.335056,0.2,0.498039,1,0.432157,1,0,1,0.00221354,1.0394,0.0963289,18,1010
1772702694078196,0.003125,-0.0501961,0,0.667969,-0.499963,0.2,0.333333,1,0.36549,1,-1,1,0.003125,0.837523,-0.115185,26,1024
1772702695078214,-0.0151042,0.0992157,0.3,1.47266,0,0.2,0,0,0.265882,0.8,-1,1,-0.0151042,0.0507339,-0.890455,27,1003
1772702696078281,-0.0182292,0.166275,0.6,1.8457,0,0.2,0,0,0.166275,0.6,1,1,-0.0182292,0.00545551,-0.846688,14,1010
1772702697078314,-0.0216146,0.166275,0.4,0.929688,0,0.2,0,0,0.166275,0.4,-1,1,-0.0216146,-0.0185601,-0.786035,15,1020
