timestamp,EFR,LRR
1773458902033578,45,0
1773458905803223,87,0
1773458907269316,39,0
1773458909364786,68,0
1773458911740339,58,0
1773458913693373,60,0
1773458917151058,127,0
1773458919534299,140,0
1773458922479426,0,0
1773458924448907,28,0
1773458926627895,150,0
1773458928673694,0,0
1773458931151866,162,0
1773458933795294,115,0
1773458936289809,34,0
1773458938956265,109,0
1773458944402671,133,0
1773458953634098,35,0
1773458958966768,162,0
1773458959653602,85,0
1773458961004070,153,0
1773458964114400,42,0
1773458967014917,25,0
1773458970744053,36,0
1773458976496747,139,0
1773458977504751,127,0
1773458979169125,90,0
1773458981616968,52,0
1773458983950714,42,0
1773458986057914,69,0
1773458988132922,93,0
1773458990958545,124,0
1773458992635934,78,0
1773458995078545,106,0
1773458998576224,17,0
1773459000776771,121,0
