timestamp,frame_num,encode_duration,encode_size
1772702681796154,,842,1
1772702681805554,,19,2
1772702681813851,,25,3
1772702681823197,,46,4
1772702681833792,,44,5
1772702681975036,,66,6
1772702681975215,,51,7
1772702681975372,,50,8
1772702681975529,,56,9
1772702681975700,,61,10
1772702681975962,,68,11
1772702681976146,,70,12
1772702681976326,,75,13
1772702681976514,,80,14
1772702681976707,,84,15
1772702681990474,,122,16
1772702682032283,,121,16
1772702682074488,,187,15
1772702682074866,,146,15
1772702682116142,,129,15
1772702682116425,,87,16
1772702682158098,,174,15
1772702682158461,,131,15
1772702682199584,,122,14
1772702682199921,,128,14
1772702682241340,,103,12
1772702682241634,,89,12
1772702682282900,,121,13
1772702682283226,,116,14
1772702682324676,,121,15
1772702682325032,,115,16
1772702682366234,,144,16
1772702682366547,,114,17
1772702682408175,,135,16
1772702682408409,,95,16
1772702682449734,,124,16
1772702682450037,,95,16
1772702682491784,,123,16
1772702682492091,,110,16
1772702682533229,,119,16
1772702682533502,,93,16
1772702682533727,,98,17
1772702682574895,,137,16
1772702682575181,,99,17
1772702682616584,,123,16
1772702682616883,,112,17
1772702682659033,,122,16
1772702682659323,,94,17
1772702682659528,,94,17
1772702682700504,,122,16
1772702682700770,,89,16
1772702682742358,,123,16
1772702682742626,,88,16
1772702682742854,,104,17
1772702682783798,,129,16
1772702682784137,,138,17
1772702682826118,,113,15
1772702682826405,,95,16
1772702682826606,,95,17
1772702682826823,,113,18
1772702682869037,,124,16
1772702682869326,,91,16
1772702682909682,,131,16
1772702682909971,,94,16
1772702682910172,,95,16
1772702682910377,,101,17
1772702682910588,,107,18
1772702682954620,,128,16
1772702682954828,,103,16
1772702682991950,,133,16
1772702682992267,,104,17
1772702683034353,,113,16
1772702683034593,,98,17
1772702683034801,,97,17
1772702683035027,,98,17
1772702683035232,,98,17
1772702683075332,,97,16
1772702683075541,,94,16
1772702683117561,,92,16
1772702683117774,,90,16
1772702683117988,,89,16
1772702683118180,,88,16
1772702683159195,,104,16
1772702683159416,,95,17
1772702683201271,,104,16
1772702683201507,,109,17
1772702683201725,,109,17
1772702683201953,,110,17
1772702683242796,,89,15
1772702683243020,,87,15
1772702683243219,,88,15
1772702683243420,,94,16
1772702683283734,,96,16
1772702683283969,,96,16
1772702683368648,,114,19
1772702683493406,,124,21
1772702683576221,,158,24
1772702683619393,,177,28
1772702683746041,,160,28
1772702683746784,,173,29
1772702683792185,,200,30
1772702683911144,,173,28
1772702684036531,,200,28
1772702684118983,,211,27
1772702684288496,,185,28
1772702684409833,,216,29
1772702684619577,,221,30
1772702684743665,,208,30
1772702684912263,,225,30
1772702685036342,,218,30
1772702685125987,,237,30
1772702685245730,,228,30
1772702685578652,,184,30
1772702685996089,,236,31
1772702686330407,,163,26
1772702686496727,,163,26
1772702686622999,,254,26
1772702686788975,,196,26
1772702687167114,,466,26
1772702687580526,,176,26
1772702688042758,,173,26
1772702688458333,,167,26
1772702688917053,,170,26
1772702689292790,,218,31
1772702689667982,,198,31
1772702690084725,,209,31
1772702690502096,,192,31
1772702690918950,,203,31
1772702691294443,,158,31
1772702691711357,,222,31
1772702692045269,,246,31
1772702692462128,,183,31
1772702692837815,,200,31
1772702693171680,,195,31
1772702693547159,,199,31
1772702693922112,,196,31
1772702694464172,,205,31
1772702695006784,,180,31
1772702695267890,,231,31
1772702695465096,,217,31
1772702695842848,,228,31
1772702696091347,,226,31
1772702696340718,,224,31
1772702696632718,,196,30
1772702696924443,,189,30
1772702697216537,,186,30
1772702697558983,,275,30
1772702697712478,,251,30
1772702697922117,,283,30
1772702698047711,,300,30
