timestamp,sent_video_rate_bps,sent_nack_rate_bps,sent_fec_rate_bps
1771908529432548,0,0,0
1771908529432698,0,0,0
1771908529714780,0,0,0
1771908529731481,0,0,0
1771908529763280,1830737,0,0
1771908529778043,2557647,0,0
1771908529831339,999540,0,0
1771908529905700,1718519,0,0
1771908530033904,1737214,0,0
1771908530044517,1726560,0,0
1771908530244157,1757312,0,0
1771908530743269,1325718,0,0
1771908531384284,879848,0,0
1771908531857790,1399328,0,0
1771908532373976,1322744,0,0
1771908534450490,39894224,0,0
1771908537712960,348681,0,0
1771908541434439,48220572,0,0
1771908545003165,28365334,0,0
1771908547517183,37488,0,0
