timestamp,EMAburst_3,EMAburst_3_10,EMALR_3_5_10,StdDevRTT_5,RTT_EMARTT_30,VarJitter_5,I_inv_EMALR_10,EMAM_5,LRR,EMALRR_5,last_M,EMAburst_3,delta_M,Reward,cur_baseline_Mreward,M,func_time
1772702682399437,0,0,0,0,1,0,3.91468e+08,1,0,0,1,0,0,0,0,1,-6148914691236517206
1772702683399478,0,0,0,0,1,0.0077835,0.888672,1,1,0.5,1,0,0,0,0,1,-6148914691236517206
1772702684399487,0,0,0,0.00471405,1.05405,0.00637324,0.911458,1,1,0.666667,1,0,0,0,0,1,-6148914691236517206
1772702685399503,0.333333,1.3328,0.00195312,0.0524094,1.58958,0.0099112,1.05957,1,0.72549,0.681373,1,0.333333,0,0,0,1,-6148914691236517206
1772702686399528,0.666667,1.66625,0.00729167,0.059227,1.42191,0.00892446,0.925781,1,1,0.745098,1,0.666667,0,0.481054,0.481054,3,583
1772702689109772,1,1.9996,0.00533854,0.063995,1.44828,0.0112082,0.888672,1.4,1,0.945098,3,1,2,0.130341,-0.350713,5,547
1772702689109772,1,1.74969,-0.0094494,0.0530109,1.36111,0.00963026,1.00586,2.2,1,0.945098,5,1,2,-0.169659,-0.584078,3,550
1772702690110429,0.666667,1.33307,-0.0130208,0.0568978,0.629921,0.00781949,1.17188,2.6,0.498039,0.844706,3,0.666667,2,-1.48419,-1.78764,2,582
1772702691110454,0.333333,0.749831,0.000607639,0.0710127,0.656934,0.00824968,0.972222,2.8,0.498039,0.799216,2,0.333333,1,-0.924627,-0.888419,1,583
1772702692110465,0,0,0.00820313,0.0749544,0.680272,0.00971808,0.991211,2.8,0.498039,0.698824,1,0,1,-0.451973,-0.246966,1,585
1772702693110481,0,0,0.00130208,0.0612,0.700637,0.0106951,1.14062,2.4,0.74902,0.648627,1,0,0,0.124066,0.375997,1,575
1772702694110493,0,0,0.00585937,0,0.718563,0.00781085,1.23926,1.6,1,0.648627,1,0,0,0.481108,0.661599,1,611
1772702695110511,0,0,0.00611979,0,0.734463,0.00613499,1.33789,1.2,0.8,0.70902,1,0,0,0.137531,0.192318,1,582
1772702696110524,0.333333,0.833125,-0.00755208,0,0.748663,0.00524602,1.14258,1,0.74902,0.759216,1,0.333333,0,-0.0399138,-0.021667,1,577
1772702697110539,0.333333,1.11074,0.00364583,0,0.761421,0.00520308,0.90625,1,1,0.859608,1,0.333333,0,0.480894,0.503258,1,600
1772702698110592,0.333333,1.66583,0.00976562,0,0.772947,0.00536297,0.835938,1,1,0.909804,1,0.333333,0,0.480696,0.407441,1,583
