timestamp,frame_num,decode_duration
1773458896547544,0,32
1773458896548458,1,31
1773458896549395,2,32
1773458896550355,3,32
1773458896551362,4,32
1773458896552429,5,32
1773458896553530,6,32
1773458896720197,0,32
1773458896721112,1,32
1773458896722043,2,32
1773458896723020,3,32
1773458896724024,4,32
1773458896725081,5,31
1773458896726180,6,32
1773458896896498,0,31
1773458896897381,1,32
1773458896898285,2,32
1773458896899233,3,32
1773458896900250,4,32
1773458896901291,5,31
1773458896902376,6,31
1773458897069345,0,32
1773458897070246,1,31
1773458897071165,2,32
1773458897072133,3,31
1773458897073130,4,32
1773458897074184,5,31
1773458897075266,6,32
1773458898026346,7,1110
1773458898027468,10,1063
1773458898428032,8,1081
1773458898429832,11,1737
1773458898999295,9,1051
1773458899001068,12,1728
1773458899057671,14,95
1773458899102024,15,128
1773458899253301,23,251
1773458899321078,25,351
1773458899387339,27,422
1773458899468200,29,512
1773458899534387,30,441
1773458899588156,31,360
1773458899718554,33,123
1773458899754233,34,476
1773458899999728,35,1333
1773458900033068,36,202
1773458900419054,38,1383
1773458900492588,39,850
1773458900686486,40,770
1773458900819159,42,215
1773458900969401,46,382
1773458901010650,47,356
1773458901107123,50,254
1773458901244957,56,567
1773458901361197,58,559
1773458901367004,59,94
1773458901510789,60,1047
1773458901567321,61,305
1773458901626367,63,245
1773458901995451,67,560
1773458902056554,68,343
1773458902760891,76,374
1773458902830677,77,418
1773458904389964,80,703
1773458904448350,81,891
1773458904766936,99,278
1773458904827542,100,55
1773458905185844,104,160
1773458905568950,109,121
1773458905643227,110,218
1773458905995250,113,120
1773458905998563,114,90
1773458906330036,118,31
1773458906343697,120,86
1773458907014039,129,1281
1773458907060354,132,95
1773458907107296,138,119
1773458907283823,145,154
1773458907406620,153,155
1773458907605891,160,149
1773458907632232,163,93
1773458907634768,164,59
1773458907637240,165,61
1773458907639348,166,63
1773458907716213,169,158
1773458907986244,177,247
1773458908026468,178,210
1773458908233554,183,152
1773458908379182,186,246
1773458908441805,187,249
1773458908534909,190,212
1773458909174980,205,283
1773458909457380,209,215
1773458909495176,210,248
1773458909779513,213,126
1773458909863849,214,258
1773458909891624,216,315
1773458909928358,217,279
1773458910195860,222,1106
1773458910201709,223,87
1773458910219820,225,95
1773458910436572,228,344
1773458910456156,229,334
1773458910627330,231,990
1773458910815067,233,151
1773458910912049,236,226
1773458911036839,239,300
1773458911085100,241,349
1773458911557015,248,98
1773458911682105,250,736
1773458911973850,260,90
1773458911977216,261,85
1773458912447251,267,86
1773458912521514,268,63
1773458912562427,270,57
1773458912811838,273,120
1773458912823818,275,124
1773458912843956,276,147
1773458912859095,277,152
1773458913057677,282,251
1773458913417473,285,55
1773458913462029,289,63
1773458913500033,292,334
1773458913763873,296,376
1773458914236829,301,1773
1773458914630869,302,2000
1773458915189096,304,60
1773458915222806,305,54
1773458915234336,306,55
1773458915259076,307,57
1773458915353064,314,922
1773458915409746,317,146
1773458915427904,319,124
1773458915482305,326,91
1773458915644992,339,375
1773458915725440,340,306
1773458916070562,344,192
1773458916146582,345,377
1773458916179786,347,93
1773458917162197,353,218
1773458917240556,355,150
1773458917332140,358,228
1773458917395319,360,244
1773458917785113,370,282
1773458917944028,372,310
1773458917948708,373,161
1773458917960008,375,154
1773458918354319,376,1133
