timestamp,totalRoundTripTime,currentRoundTripTime,availableOutgoingBitrate,packetsSent,packetsReceived,bytesSent,bytesReceived
1771908529353614,0,0,300000,2,2,698,717
1771908529453624,0,0,300000,3,2,768,717
1771908529453624,0,0,300000,3,2,768,717
1771908529774725,0,0,2.058e+06,26,12,8580,6894
1771908529874746,0,0,2.058e+06,104,44,34416,38109
1771908529974754,0,0,3.68213e+06,107,44,34522,38109
1771908530074823,0,0,3.68213e+06,133,160,46374,115979
1771908530074823,0,0,3.68213e+06,133,160,46374,115979
1771908530409587,0.001,0.001,3.68213e+06,212,244,90716,160897
1771908530409587,0.001,0.001,3.68213e+06,212,244,90716,160897
1771908530823763,0.001,0,3.68213e+06,342,358,166809,239411
1771908530823763,0.001,0,3.68213e+06,342,358,166809,239411
1771908531522268,0.001,0,3.68213e+06,537,552,284551,359587
1771908531522268,0.001,0,3.68213e+06,537,552,284551,359587
1771908532127882,0.001,0,3.68213e+06,690,654,378488,418704
1771908532127882,0.001,0,3.68213e+06,690,654,378488,418704
1771908533327223,0.001,0,3.68213e+06,1051,673,593287,430858
1771908533327223,0.001,0,3.68213e+06,1051,673,593287,430858
1771908534159659,0.001,0,3.68213e+06,1091,673,635175,430858
1771908534259674,0.001,0,3.68213e+06,1219,673,694712,430858
1771908534359726,0.001,0,3.68213e+06,1255,673,736086,430858
1771908534459760,0.001,0,2.94571e+06,1732,957,973113,536117
1771908534459760,0.001,0,2.94571e+06,1732,957,973113,536117
1771908536507747,0.001,0,2.94571e+06,1786,957,1022667,536117
1771908536607774,0.001,0,2.94571e+06,1824,957,1054686,536117
1771908536707867,0.001,0,2.94571e+06,1909,957,1104087,536117
1771908536807870,0.001,0,2.94571e+06,1966,957,1136196,536117
1771908536907881,0.001,0,2.94571e+06,2123,1018,1283763,575447
1771908536907881,0.001,0,2.94571e+06,2123,1018,1283763,575447
1771908537283031,0.001,0,2.94571e+06,2232,1018,1331444,575447
1771908537383044,0.001,0,2.94571e+06,2277,1018,1364005,575447
1771908537483069,0.001,0,2.35656e+06,2351,1019,1392638,575517
1771908537583083,0.001,0,2.35656e+06,2419,1019,1431650,575517
1771908537683104,0.001,0,2.35656e+06,2457,1019,1457526,575517
1771908537783130,0.001,0,2.35656e+06,2546,1022,1495917,579564
1771908537883146,0.001,0,2.35656e+06,2597,1022,1521953,579564
1771908537983154,0.001,0,2.35656e+06,2681,1022,1561047,579564
1771908538083196,0.001,0,2.35656e+06,2722,1022,1587673,579564
1771908538183213,0.001,0,2.35656e+06,2761,1026,1611858,582145
1771908538283222,0.001,0,2.35656e+06,2786,1026,1619429,582145
1771908538383251,0.001,0,2.35656e+06,2793,1026,1624537,582145
1771908538483264,0.001,0,1.88525e+06,2799,1026,1629017,582145
1771908538583291,0.001,0,1.88525e+06,2806,1033,1635382,586228
1771908538683343,0.001,0,1.88525e+06,2818,1033,1641799,586228
1771908538783347,0.001,0,1.88525e+06,2836,1033,1647394,586228
1771908538883362,0.001,0,1.88525e+06,2840,1034,1651483,586310
1771908538983391,0.001,0,1.88525e+06,2859,1034,1657658,586310
1771908539083417,0.001,0,1.88525e+06,2866,1034,1663747,586310
1771908539183429,0.001,0,1.88525e+06,2873,1034,1667814,586310
1771908539283468,0.001,0,1.88525e+06,2882,1038,1671949,588891
1771908539383493,0.001,0,1.88525e+06,2890,1038,1676102,588891
1771908539483489,0.001,0,1.5082e+06,2895,1038,1680500,588891
1771908539583514,0.001,0,1.5082e+06,2921,1038,1692550,588891
1771908539683541,0.001,0,1.5082e+06,2945,1038,1700051,588891
1771908539783568,0.001,0,1.5082e+06,2955,1038,1707666,588891
1771908539883592,0.001,0,1.5082e+06,2979,1038,1715183,588891
1771908539983612,0.001,0,1.5082e+06,2988,1038,1722716,588891
1771908540083658,0.001,0,1.5082e+06,3001,1038,1733570,588891
1771908540183673,0.001,0,1.5082e+06,3012,1039,1737145,588961
1771908540283695,0.001,0,1.5082e+06,3021,1052,1741288,599846
1771908540383709,0.001,0,1.5082e+06,3025,1052,1745676,599846
1771908540483727,0.001,0,1.20656e+06,3039,1052,1749927,599846
1771908540583750,0.001,0,1.20656e+06,3049,1052,1760361,599846
