t_ms,cpu_time_ms,vmrss_kb,vmhwm_kb,pss_kb,rapl_energy_uj
0,83.7454,92108,92108,43351,-1
1004,1238.69,160944,163848,102833,-1
2011,3213.83,207280,247148,144417,-1
3017,5861.66,221980,247148,156719,-1
4026,8491.02,222920,247148,157043,-1
5034,11089.6,223184,247148,157587,-1
6042,13685.5,223712,247148,157999,-1
7054,16294.6,223976,247148,158455,-1
8063,18927.7,224768,247148,159119,-1
9072,21507.5,224768,247148,159263,-1
10079,23870.2,225296,247148,159635,-1
11085,26241.2,225824,247148,160111,-1
12094,28622.2,226352,247148,160619,-1
13104,31006.5,226616,247148,161071,-1
14113,33347.7,227408,247148,161631,-1
15122,35707.7,227672,247148,162075,-1
16129,38059,228200,247148,162443,-1
17136,40392.4,228464,247148,162831,-1
18148,42737.1,228728,247148,163051,-1
19156,45059.3,244568,247148,178783,-1
20165,47300.6,244568,247148,178783,-1
21173,49595.1,245624,247148,179955,-1
22180,51879.9,246680,247148,181035,-1
23193,54179.8,247472,247472,181759,-1
24201,56440.5,247472,247472,181759,-1
25211,58714.7,248528,248528,182835,-1
26219,61020,249320,249320,183495,-1
27226,63275,249848,249848,184103,-1
28235,65532.2,250112,250112,184419,-1
29244,67803.7,250112,250112,184419,-1
30254,70092.3,250112,250112,184419,-1
31262,72301.8,250112,250112,184419,-1
32270,74439.6,250112,250112,184419,-1
33277,76741.4,251432,251432,185982,-1
34291,78390.1,251432,251432,185982,-1
35300,80013.6,251432,251432,185986,-1
36309,81582.6,251432,251432,185986,-1
37316,83661,251432,251432,185986,-1
38323,85777.5,251432,251432,186050,-1
39335,87852.7,251432,251432,186050,-1
40348,90052.9,251432,251432,186050,-1
41357,92564.3,251432,251432,186050,-1
42366,94855.2,251432,251432,186050,-1
43378,96686.4,251432,251432,186050,-1
44386,98708.2,251432,251432,186050,-1
45396,101171,251432,251432,186050,-1
46405,103630,251432,251432,186050,-1
47412,106006,251432,251432,186050,-1
